ROUGE-Type,Task Name,System Name,Avg_Recall,Avg_Precision,Avg_F-Score,Num Reference Summaries
ROUGE-L+StopWordRemoval,TASK1,ENGLISHREFERENCE1.TXT,0.44805,0.55000,0.49382,2
ROUGE-L+StopWordRemoval,TASK1,ENGLISHREFERENCE2.TXT,0.44805,0.55000,0.49382,2
ROUGE-1+StopWordRemoval,TASK1,ENGLISHREFERENCE1.TXT,0.47283,0.57692,0.51971,2
ROUGE-1+StopWordRemoval,TASK1,ENGLISHREFERENCE2.TXT,0.47283,0.57692,0.51971,2
ROUGE-2+StopWordRemoval,TASK1,ENGLISHREFERENCE1.TXT,0.10000,0.04545,0.06250,2
ROUGE-2+StopWordRemoval,TASK1,ENGLISHREFERENCE2.TXT,0.10000,0.04545,0.06250,2
ROUGE-SU4+StopWordRemoval,TASK1,ENGLISHREFERENCE1.TXT,0.28500,0.24444,0.26317,2
ROUGE-SU4+StopWordRemoval,TASK1,ENGLISHREFERENCE2.TXT,0.28500,0.24444,0.26317,2
ROUGE-L+StopWordRemoval,TASK2,PERSIANREFERENCE1.TXT,0.97842,0.49097,0.65385,1
ROUGE-1+StopWordRemoval,TASK2,PERSIANREFERENCE1.TXT,0.97309,0.38475,0.55146,1
ROUGE-2+StopWordRemoval,TASK2,PERSIANREFERENCE1.TXT,0.96244,0.37138,0.53595,1
ROUGE-SU4+StopWordRemoval,TASK2,PERSIANREFERENCE1.TXT,0.96256,0.36185,0.52598,1
