ROUGE-Type,Task Name,System Name,Avg_Recall,Avg_Precision,Avg_F-Score,Num Reference Summaries
ROUGE-L+StopWordRemoval,TASK1,ENGLISHSYSSUM3.TXT,0.50000,0.71429,0.58824,1
ROUGE-L+StopWordRemoval,TASK1,ENGLISHSYSSUM4.TXT,0.60000,0.18182,0.27907,1
ROUGE-L+StopWordRemoval,TASK1,ENGLISHSYSSUM2.TXT,0.60000,0.18182,0.27907,1
ROUGE-1+StopWordRemoval,TASK1,ENGLISHSYSSUM3.TXT,0.46154,0.75000,0.57143,1
ROUGE-1+StopWordRemoval,TASK1,ENGLISHSYSSUM4.TXT,0.69231,0.19565,0.30508,1
ROUGE-1+StopWordRemoval,TASK1,ENGLISHSYSSUM2.TXT,0.69231,0.19565,0.30508,1
ROUGE-2+StopWordRemoval,TASK1,ENGLISHSYSSUM3.TXT,0.09091,0.20000,0.12500,1
ROUGE-2+StopWordRemoval,TASK1,ENGLISHSYSSUM4.TXT,0.00000,0.00000,0.00000,1
ROUGE-2+StopWordRemoval,TASK1,ENGLISHSYSSUM2.TXT,0.00000,0.00000,0.00000,1
ROUGE-SU4+StopWordRemoval,TASK1,ENGLISHSYSSUM3.TXT,0.17778,0.50000,0.26230,1
ROUGE-SU4+StopWordRemoval,TASK1,ENGLISHSYSSUM4.TXT,0.31111,0.07000,0.11429,1
ROUGE-SU4+StopWordRemoval,TASK1,ENGLISHSYSSUM2.TXT,0.31111,0.07000,0.11429,1
ROUGE-L+StopWordRemoval,TASK2,PERSIANSYSSUM1.TXT,0.49097,0.97842,0.65385,3
ROUGE-1+StopWordRemoval,TASK2,PERSIANSYSSUM1.TXT,0.38475,0.97309,0.55146,3
ROUGE-2+StopWordRemoval,TASK2,PERSIANSYSSUM1.TXT,0.37138,0.96244,0.53595,3
ROUGE-SU4+StopWordRemoval,TASK2,PERSIANSYSSUM1.TXT,0.36185,0.96256,0.52598,3
