ROUGE-Type,Task Name,System Name,Avg_Recall,Avg_Precision,Avg_F-Score,Num Reference Summaries
ROUGE-L+StopWordRemoval,TASK1,ENGLISHREFERENCE1.TXT,0.41948,0.57500,0.48508,4
ROUGE-L+StopWordRemoval,TASK1,ENGLISHREFERENCE2.TXT,0.46948,0.44643,0.45766,4
ROUGE-L+StopWordRemoval,TASK1,ENGLISHREFERENCE3.TXT,0.41948,0.57500,0.48508,4
ROUGE-L+StopWordRemoval,TASK1,ENGLISHREFERENCE4.TXT,0.41948,0.57500,0.48508,4
ROUGE-1+StopWordRemoval,TASK1,ENGLISHREFERENCE1.TXT,0.45199,0.61538,0.52118,4
ROUGE-1+StopWordRemoval,TASK1,ENGLISHREFERENCE2.TXT,0.49366,0.47222,0.48270,4
ROUGE-1+StopWordRemoval,TASK1,ENGLISHREFERENCE3.TXT,0.45199,0.61538,0.52118,4
ROUGE-1+StopWordRemoval,TASK1,ENGLISHREFERENCE4.TXT,0.45199,0.61538,0.52118,4
ROUGE-2+StopWordRemoval,TASK1,ENGLISHREFERENCE1.TXT,0.08125,0.04545,0.05830,4
ROUGE-2+StopWordRemoval,TASK1,ENGLISHREFERENCE2.TXT,0.11250,0.05000,0.06923,4
ROUGE-2+StopWordRemoval,TASK1,ENGLISHREFERENCE3.TXT,0.08125,0.04545,0.05830,4
ROUGE-2+StopWordRemoval,TASK1,ENGLISHREFERENCE4.TXT,0.08125,0.04545,0.05830,4
ROUGE-SU4+StopWordRemoval,TASK1,ENGLISHREFERENCE1.TXT,0.26577,0.26111,0.26342,4
ROUGE-SU4+StopWordRemoval,TASK1,ENGLISHREFERENCE2.TXT,0.31385,0.21667,0.25636,4
ROUGE-SU4+StopWordRemoval,TASK1,ENGLISHREFERENCE3.TXT,0.26577,0.26111,0.26342,4
ROUGE-SU4+StopWordRemoval,TASK1,ENGLISHREFERENCE4.TXT,0.26577,0.26111,0.26342,4
ROUGE-L+StopWordRemoval,TASK2,PERSIANREFERENCE3.TXT,0.97842,0.49097,0.65385,4
ROUGE-L+StopWordRemoval,TASK2,PERSIANREFERENCE4.TXT,0.97842,0.49097,0.65385,4
ROUGE-L+StopWordRemoval,TASK2,PERSIANREFERENCE1.TXT,0.97842,0.49097,0.65385,4
ROUGE-L+StopWordRemoval,TASK2,PERSIANREFERENCE2.TXT,0.97842,0.49097,0.65385,4
ROUGE-1+StopWordRemoval,TASK2,PERSIANREFERENCE3.TXT,0.97309,0.38475,0.55146,4
ROUGE-1+StopWordRemoval,TASK2,PERSIANREFERENCE4.TXT,0.97309,0.38475,0.55146,4
ROUGE-1+StopWordRemoval,TASK2,PERSIANREFERENCE1.TXT,0.97309,0.38475,0.55146,4
ROUGE-1+StopWordRemoval,TASK2,PERSIANREFERENCE2.TXT,0.97309,0.38475,0.55146,4
ROUGE-2+StopWordRemoval,TASK2,PERSIANREFERENCE3.TXT,0.96244,0.37138,0.53595,4
ROUGE-2+StopWordRemoval,TASK2,PERSIANREFERENCE4.TXT,0.96244,0.37138,0.53595,4
ROUGE-2+StopWordRemoval,TASK2,PERSIANREFERENCE1.TXT,0.96244,0.37138,0.53595,4
ROUGE-2+StopWordRemoval,TASK2,PERSIANREFERENCE2.TXT,0.96244,0.37138,0.53595,4
ROUGE-SU4+StopWordRemoval,TASK2,PERSIANREFERENCE3.TXT,0.96256,0.36185,0.52598,4
ROUGE-SU4+StopWordRemoval,TASK2,PERSIANREFERENCE4.TXT,0.96256,0.36185,0.52598,4
ROUGE-SU4+StopWordRemoval,TASK2,PERSIANREFERENCE1.TXT,0.96256,0.36185,0.52598,4
ROUGE-SU4+StopWordRemoval,TASK2,PERSIANREFERENCE2.TXT,0.96256,0.36185,0.52598,4
