ROUGE-Type,Task Name,System Name,Avg_Recall,Avg_Precision,Avg_F-Score,Num Reference Summaries
ROUGE-L+StopWordRemoval,TASK1,ENGLISHSYSSUM1.TXT,NaN,NaN,0.00000,0
ROUGE-L+StopWordRemoval,TASK1,ENGLISHSYSSUM2.TXT,NaN,NaN,0.00000,0
ROUGE-L+StopWordRemoval,TASK1,ENGLISHSYSSUM4.TXT,NaN,NaN,0.00000,0
ROUGE-L+StopWordRemoval,TASK1,ENGLISHSYSSUM3.TXT,NaN,NaN,0.00000,0
ROUGE-1+StopWordRemoval,TASK1,ENGLISHSYSSUM1.TXT,NaN,NaN,0.00000,0
ROUGE-1+StopWordRemoval,TASK1,ENGLISHSYSSUM2.TXT,NaN,NaN,0.00000,0
ROUGE-1+StopWordRemoval,TASK1,ENGLISHSYSSUM4.TXT,NaN,NaN,0.00000,0
ROUGE-1+StopWordRemoval,TASK1,ENGLISHSYSSUM3.TXT,NaN,NaN,0.00000,0
ROUGE-2+StopWordRemoval,TASK1,ENGLISHSYSSUM1.TXT,NaN,NaN,0.00000,0
ROUGE-2+StopWordRemoval,TASK1,ENGLISHSYSSUM2.TXT,NaN,NaN,0.00000,0
ROUGE-2+StopWordRemoval,TASK1,ENGLISHSYSSUM4.TXT,NaN,NaN,0.00000,0
ROUGE-2+StopWordRemoval,TASK1,ENGLISHSYSSUM3.TXT,NaN,NaN,0.00000,0
ROUGE-SU4+StopWordRemoval,TASK1,ENGLISHSYSSUM1.TXT,NaN,NaN,0.00000,0
ROUGE-SU4+StopWordRemoval,TASK1,ENGLISHSYSSUM2.TXT,NaN,NaN,0.00000,0
ROUGE-SU4+StopWordRemoval,TASK1,ENGLISHSYSSUM4.TXT,NaN,NaN,0.00000,0
ROUGE-SU4+StopWordRemoval,TASK1,ENGLISHSYSSUM3.TXT,NaN,NaN,0.00000,0
ROUGE-L+StopWordRemoval,TASK2,PERSIANSYSSUM3.TXT,NaN,NaN,0.00000,0
ROUGE-L+StopWordRemoval,TASK2,PERSIANSYSSUM4.TXT,NaN,NaN,0.00000,0
ROUGE-L+StopWordRemoval,TASK2,PERSIANSYSSUM2.TXT,NaN,NaN,0.00000,0
ROUGE-L+StopWordRemoval,TASK2,PERSIANSYSSUM1.TXT,NaN,NaN,0.00000,0
ROUGE-1+StopWordRemoval,TASK2,PERSIANSYSSUM3.TXT,NaN,NaN,0.00000,0
ROUGE-1+StopWordRemoval,TASK2,PERSIANSYSSUM4.TXT,NaN,NaN,0.00000,0
ROUGE-1+StopWordRemoval,TASK2,PERSIANSYSSUM2.TXT,NaN,NaN,0.00000,0
ROUGE-1+StopWordRemoval,TASK2,PERSIANSYSSUM1.TXT,NaN,NaN,0.00000,0
ROUGE-2+StopWordRemoval,TASK2,PERSIANSYSSUM3.TXT,NaN,NaN,0.00000,0
ROUGE-2+StopWordRemoval,TASK2,PERSIANSYSSUM4.TXT,NaN,NaN,0.00000,0
ROUGE-2+StopWordRemoval,TASK2,PERSIANSYSSUM2.TXT,NaN,NaN,0.00000,0
ROUGE-2+StopWordRemoval,TASK2,PERSIANSYSSUM1.TXT,NaN,NaN,0.00000,0
ROUGE-SU4+StopWordRemoval,TASK2,PERSIANSYSSUM3.TXT,NaN,NaN,0.00000,0
ROUGE-SU4+StopWordRemoval,TASK2,PERSIANSYSSUM4.TXT,NaN,NaN,0.00000,0
ROUGE-SU4+StopWordRemoval,TASK2,PERSIANSYSSUM2.TXT,NaN,NaN,0.00000,0
ROUGE-SU4+StopWordRemoval,TASK2,PERSIANSYSSUM1.TXT,NaN,NaN,0.00000,0
