ROUGE-Type,Task Name,System Name,Avg_Recall,Avg_Precision,Avg_F-Score,Num Reference Summaries
ROUGE-L-topic+Stemming,TASK1,ENGLISHSYSSUM4.TXT,0.00000,0.00000,0.00000,4
ROUGE-L-topic+Stemming,TASK1,ENGLISHSYSSUM3.TXT,0.00000,0.00000,0.00000,4
ROUGE-L-topic+Stemming,TASK1,ENGLISHSYSSUM1.TXT,0.00000,0.00000,0.00000,4
ROUGE-L-topic+Stemming,TASK1,ENGLISHSYSSUM2.TXT,0.00000,0.00000,0.00000,4
ROUGE-S1-topic+Stemming,TASK1,ENGLISHSYSSUM4.TXT,0.00000,0.00000,0.00000,4
ROUGE-S1-topic+Stemming,TASK1,ENGLISHSYSSUM3.TXT,0.00000,0.00000,0.00000,4
ROUGE-S1-topic+Stemming,TASK1,ENGLISHSYSSUM1.TXT,0.00000,0.00000,0.00000,4
ROUGE-S1-topic+Stemming,TASK1,ENGLISHSYSSUM2.TXT,0.00000,0.00000,0.00000,4
ROUGE-2-topic+Stemming,TASK1,ENGLISHSYSSUM4.TXT,0.00000,0.00000,0.00000,4
ROUGE-2-topic+Stemming,TASK1,ENGLISHSYSSUM3.TXT,0.00000,0.00000,0.00000,4
ROUGE-2-topic+Stemming,TASK1,ENGLISHSYSSUM1.TXT,0.00000,0.00000,0.00000,4
ROUGE-2-topic+Stemming,TASK1,ENGLISHSYSSUM2.TXT,0.00000,0.00000,0.00000,4
ROUGE-1-topic+Stemming,TASK1,ENGLISHSYSSUM4.TXT,0.00000,0.00000,0.00000,4
ROUGE-1-topic+Stemming,TASK1,ENGLISHSYSSUM3.TXT,0.00000,0.00000,0.00000,4
ROUGE-1-topic+Stemming,TASK1,ENGLISHSYSSUM1.TXT,0.00000,0.00000,0.00000,4
ROUGE-1-topic+Stemming,TASK1,ENGLISHSYSSUM2.TXT,0.00000,0.00000,0.00000,4
ROUGE-SU10-topic+Stemming,TASK1,ENGLISHSYSSUM4.TXT,0.00000,0.00000,0.00000,4
ROUGE-SU10-topic+Stemming,TASK1,ENGLISHSYSSUM3.TXT,0.00000,0.00000,0.00000,4
ROUGE-SU10-topic+Stemming,TASK1,ENGLISHSYSSUM1.TXT,0.00000,0.00000,0.00000,4
ROUGE-SU10-topic+Stemming,TASK1,ENGLISHSYSSUM2.TXT,0.00000,0.00000,0.00000,4
ROUGE-L-topic+Stemming,TASK2,PERSIANSYSSUM1.TXT,0.00000,0.00000,0.00000,4
ROUGE-L-topic+Stemming,TASK2,PERSIANSYSSUM3.TXT,0.00000,0.00000,0.00000,4
ROUGE-L-topic+Stemming,TASK2,PERSIANSYSSUM2.TXT,0.00000,0.00000,0.00000,4
ROUGE-L-topic+Stemming,TASK2,PERSIANSYSSUM4.TXT,0.00000,0.00000,0.00000,4
ROUGE-S1-topic+Stemming,TASK2,PERSIANSYSSUM1.TXT,0.00000,0.00000,0.00000,4
ROUGE-S1-topic+Stemming,TASK2,PERSIANSYSSUM3.TXT,0.00000,0.00000,0.00000,4
ROUGE-S1-topic+Stemming,TASK2,PERSIANSYSSUM2.TXT,0.00000,0.00000,0.00000,4
ROUGE-S1-topic+Stemming,TASK2,PERSIANSYSSUM4.TXT,0.00000,0.00000,0.00000,4
ROUGE-2-topic+Stemming,TASK2,PERSIANSYSSUM1.TXT,0.00000,0.00000,0.00000,4
ROUGE-2-topic+Stemming,TASK2,PERSIANSYSSUM3.TXT,0.00000,0.00000,0.00000,4
ROUGE-2-topic+Stemming,TASK2,PERSIANSYSSUM2.TXT,0.00000,0.00000,0.00000,4
ROUGE-2-topic+Stemming,TASK2,PERSIANSYSSUM4.TXT,0.00000,0.00000,0.00000,4
ROUGE-1-topic+Stemming,TASK2,PERSIANSYSSUM1.TXT,0.00000,0.00000,0.00000,4
ROUGE-1-topic+Stemming,TASK2,PERSIANSYSSUM3.TXT,0.00000,0.00000,0.00000,4
ROUGE-1-topic+Stemming,TASK2,PERSIANSYSSUM2.TXT,0.00000,0.00000,0.00000,4
ROUGE-1-topic+Stemming,TASK2,PERSIANSYSSUM4.TXT,0.00000,0.00000,0.00000,4
ROUGE-SU10-topic+Stemming,TASK2,PERSIANSYSSUM1.TXT,0.00000,0.00000,0.00000,4
ROUGE-SU10-topic+Stemming,TASK2,PERSIANSYSSUM3.TXT,0.00000,0.00000,0.00000,4
ROUGE-SU10-topic+Stemming,TASK2,PERSIANSYSSUM2.TXT,0.00000,0.00000,0.00000,4
ROUGE-SU10-topic+Stemming,TASK2,PERSIANSYSSUM4.TXT,0.00000,0.00000,0.00000,4
