ROUGE-Type,Task Name,System Name,Avg_Recall,Avg_Precision,Avg_F-Score,Num Reference Summaries
ROUGE-L+StopWordRemoval+Stemming,TASK1,ENGLISHSYSSUM3.TXT,0.55714,0.60000,0.57778,4
ROUGE-L+StopWordRemoval+Stemming,TASK1,ENGLISHSYSSUM4.TXT,0.74286,0.21053,0.32808,4
ROUGE-L+StopWordRemoval+Stemming,TASK1,ENGLISHSYSSUM2.TXT,0.74286,0.21053,0.32808,4
ROUGE-L+StopWordRemoval+Stemming,TASK1,ENGLISHSYSSUM1.TXT,0.62857,0.50000,0.55696,4
ROUGE-S1+StopWordRemoval+Stemming,TASK1,ENGLISHSYSSUM3.TXT,0.00000,0.00000,0.00000,4
ROUGE-S1+StopWordRemoval+Stemming,TASK1,ENGLISHSYSSUM4.TXT,0.00000,0.00000,0.00000,4
ROUGE-S1+StopWordRemoval+Stemming,TASK1,ENGLISHSYSSUM2.TXT,0.00000,0.00000,0.00000,4
ROUGE-S1+StopWordRemoval+Stemming,TASK1,ENGLISHSYSSUM1.TXT,0.06250,0.06250,0.06250,4
ROUGE-2+StopWordRemoval+Stemming,TASK1,ENGLISHSYSSUM3.TXT,0.00000,0.00000,0.00000,4
ROUGE-2+StopWordRemoval+Stemming,TASK1,ENGLISHSYSSUM4.TXT,0.00000,0.00000,0.00000,4
ROUGE-2+StopWordRemoval+Stemming,TASK1,ENGLISHSYSSUM2.TXT,0.00000,0.00000,0.00000,4
ROUGE-2+StopWordRemoval+Stemming,TASK1,ENGLISHSYSSUM1.TXT,0.06250,0.06250,0.06250,4
ROUGE-1+StopWordRemoval+Stemming,TASK1,ENGLISHSYSSUM3.TXT,0.74286,0.66667,0.70270,4
ROUGE-1+StopWordRemoval+Stemming,TASK1,ENGLISHSYSSUM4.TXT,0.74286,0.17391,0.28184,4
ROUGE-1+StopWordRemoval+Stemming,TASK1,ENGLISHSYSSUM2.TXT,0.74286,0.17391,0.28184,4
ROUGE-1+StopWordRemoval+Stemming,TASK1,ENGLISHSYSSUM1.TXT,0.81429,0.56250,0.66537,4
ROUGE-SU10+StopWordRemoval+Stemming,TASK1,ENGLISHSYSSUM3.TXT,0.41667,0.44444,0.43011,4
ROUGE-SU10+StopWordRemoval+Stemming,TASK1,ENGLISHSYSSUM4.TXT,0.52083,0.04808,0.08803,4
ROUGE-SU10+StopWordRemoval+Stemming,TASK1,ENGLISHSYSSUM2.TXT,0.52083,0.04808,0.08803,4
ROUGE-SU10+StopWordRemoval+Stemming,TASK1,ENGLISHSYSSUM1.TXT,0.47917,0.39583,0.43353,4
ROUGE-L+StopWordRemoval+Stemming,TASK2,PERSIANSYSSUM3.TXT,0.49097,0.97842,0.65385,4
ROUGE-L+StopWordRemoval+Stemming,TASK2,PERSIANSYSSUM2.TXT,0.49097,0.97842,0.65385,4
ROUGE-L+StopWordRemoval+Stemming,TASK2,PERSIANSYSSUM1.TXT,0.49097,0.97842,0.65385,4
ROUGE-L+StopWordRemoval+Stemming,TASK2,PERSIANSYSSUM4.TXT,0.49097,0.97842,0.65385,4
ROUGE-S1+StopWordRemoval+Stemming,TASK2,PERSIANSYSSUM3.TXT,0.37138,0.96244,0.53595,4
ROUGE-S1+StopWordRemoval+Stemming,TASK2,PERSIANSYSSUM2.TXT,0.37138,0.96244,0.53595,4
ROUGE-S1+StopWordRemoval+Stemming,TASK2,PERSIANSYSSUM1.TXT,0.37138,0.96244,0.53595,4
ROUGE-S1+StopWordRemoval+Stemming,TASK2,PERSIANSYSSUM4.TXT,0.37138,0.96244,0.53595,4
ROUGE-2+StopWordRemoval+Stemming,TASK2,PERSIANSYSSUM3.TXT,0.37138,0.96244,0.53595,4
ROUGE-2+StopWordRemoval+Stemming,TASK2,PERSIANSYSSUM2.TXT,0.37138,0.96244,0.53595,4
ROUGE-2+StopWordRemoval+Stemming,TASK2,PERSIANSYSSUM1.TXT,0.37138,0.96244,0.53595,4
ROUGE-2+StopWordRemoval+Stemming,TASK2,PERSIANSYSSUM4.TXT,0.37138,0.96244,0.53595,4
ROUGE-1+StopWordRemoval+Stemming,TASK2,PERSIANSYSSUM3.TXT,0.38475,0.97309,0.55146,4
ROUGE-1+StopWordRemoval+Stemming,TASK2,PERSIANSYSSUM2.TXT,0.38475,0.97309,0.55146,4
ROUGE-1+StopWordRemoval+Stemming,TASK2,PERSIANSYSSUM1.TXT,0.38475,0.97309,0.55146,4
ROUGE-1+StopWordRemoval+Stemming,TASK2,PERSIANSYSSUM4.TXT,0.38475,0.97309,0.55146,4
ROUGE-SU10+StopWordRemoval+Stemming,TASK2,PERSIANSYSSUM3.TXT,0.32858,0.95693,0.48919,4
ROUGE-SU10+StopWordRemoval+Stemming,TASK2,PERSIANSYSSUM2.TXT,0.32858,0.95693,0.48919,4
ROUGE-SU10+StopWordRemoval+Stemming,TASK2,PERSIANSYSSUM1.TXT,0.32858,0.95693,0.48919,4
ROUGE-SU10+StopWordRemoval+Stemming,TASK2,PERSIANSYSSUM4.TXT,0.32858,0.95693,0.48919,4
