ROUGE-Type,Task Name,System Name,Avg_Recall,Avg_Precision,Avg_F-Score,Num Reference Summaries
ROUGE-L+StopWordRemoval+Stemming,TASK1,ENGLISHREFERENCE4.TXT,0.36241,0.70000,0.47757,4
ROUGE-L+StopWordRemoval+Stemming,TASK1,ENGLISHREFERENCE3.TXT,0.36241,0.70000,0.47757,4
ROUGE-L+StopWordRemoval+Stemming,TASK1,ENGLISHREFERENCE1.TXT,0.36241,0.70000,0.47757,4
ROUGE-L+StopWordRemoval+Stemming,TASK1,ENGLISHREFERENCE2.TXT,0.43383,0.57143,0.49322,4
ROUGE-S1+StopWordRemoval+Stemming,TASK1,ENGLISHREFERENCE4.TXT,0.00000,0.00000,0.00000,4
ROUGE-S1+StopWordRemoval+Stemming,TASK1,ENGLISHREFERENCE3.TXT,0.00000,0.00000,0.00000,4
ROUGE-S1+StopWordRemoval+Stemming,TASK1,ENGLISHREFERENCE1.TXT,0.00000,0.00000,0.00000,4
ROUGE-S1+StopWordRemoval+Stemming,TASK1,ENGLISHREFERENCE2.TXT,0.06250,0.06250,0.06250,4
ROUGE-2+StopWordRemoval+Stemming,TASK1,ENGLISHREFERENCE4.TXT,0.00000,0.00000,0.00000,4
ROUGE-2+StopWordRemoval+Stemming,TASK1,ENGLISHREFERENCE3.TXT,0.00000,0.00000,0.00000,4
ROUGE-2+StopWordRemoval+Stemming,TASK1,ENGLISHREFERENCE1.TXT,0.00000,0.00000,0.00000,4
ROUGE-2+StopWordRemoval+Stemming,TASK1,ENGLISHREFERENCE2.TXT,0.06250,0.06250,0.06250,4
ROUGE-1+StopWordRemoval+Stemming,TASK1,ENGLISHREFERENCE4.TXT,0.37862,0.80000,0.51399,4
ROUGE-1+StopWordRemoval+Stemming,TASK1,ENGLISHREFERENCE3.TXT,0.37862,0.80000,0.51399,4
ROUGE-1+StopWordRemoval+Stemming,TASK1,ENGLISHREFERENCE1.TXT,0.37862,0.80000,0.51399,4
ROUGE-1+StopWordRemoval+Stemming,TASK1,ENGLISHREFERENCE2.TXT,0.44112,0.64286,0.52322,4
ROUGE-SU10+StopWordRemoval+Stemming,TASK1,ENGLISHREFERENCE4.TXT,0.21848,0.50000,0.30409,4
ROUGE-SU10+StopWordRemoval+Stemming,TASK1,ENGLISHREFERENCE3.TXT,0.21848,0.50000,0.30409,4
ROUGE-SU10+StopWordRemoval+Stemming,TASK1,ENGLISHREFERENCE1.TXT,0.21848,0.50000,0.30409,4
ROUGE-SU10+StopWordRemoval+Stemming,TASK1,ENGLISHREFERENCE2.TXT,0.28098,0.43750,0.34219,4
ROUGE-L+StopWordRemoval+Stemming,TASK2,PERSIANREFERENCE1.TXT,0.97842,0.49097,0.65385,7
ROUGE-L+StopWordRemoval+Stemming,TASK2,PERSIANREFERENCE3.TXT,0.97842,0.49097,0.65385,7
ROUGE-L+StopWordRemoval+Stemming,TASK2,PERSIANREFERENCE2.TXT,0.97842,0.49097,0.65385,7
ROUGE-L+StopWordRemoval+Stemming,TASK2,PERSIANREFERENCE7.TXT,0.97842,0.49097,0.65385,7
ROUGE-L+StopWordRemoval+Stemming,TASK2,PERSIANREFERENCE4.TXT,0.97842,0.49097,0.65385,7
ROUGE-L+StopWordRemoval+Stemming,TASK2,PERSIANREFERENCE5.TXT,0.97842,0.49097,0.65385,7
ROUGE-L+StopWordRemoval+Stemming,TASK2,PERSIANREFERENCE6.TXT,0.97842,0.49097,0.65385,7
ROUGE-S1+StopWordRemoval+Stemming,TASK2,PERSIANREFERENCE1.TXT,0.96244,0.37138,0.53595,7
ROUGE-S1+StopWordRemoval+Stemming,TASK2,PERSIANREFERENCE3.TXT,0.96244,0.37138,0.53595,7
ROUGE-S1+StopWordRemoval+Stemming,TASK2,PERSIANREFERENCE2.TXT,0.96244,0.37138,0.53595,7
ROUGE-S1+StopWordRemoval+Stemming,TASK2,PERSIANREFERENCE7.TXT,0.96244,0.37138,0.53595,7
ROUGE-S1+StopWordRemoval+Stemming,TASK2,PERSIANREFERENCE4.TXT,0.96244,0.37138,0.53595,7
ROUGE-S1+StopWordRemoval+Stemming,TASK2,PERSIANREFERENCE5.TXT,0.96244,0.37138,0.53595,7
ROUGE-S1+StopWordRemoval+Stemming,TASK2,PERSIANREFERENCE6.TXT,0.96244,0.37138,0.53595,7
ROUGE-2+StopWordRemoval+Stemming,TASK2,PERSIANREFERENCE1.TXT,0.96244,0.37138,0.53595,7
ROUGE-2+StopWordRemoval+Stemming,TASK2,PERSIANREFERENCE3.TXT,0.96244,0.37138,0.53595,7
ROUGE-2+StopWordRemoval+Stemming,TASK2,PERSIANREFERENCE2.TXT,0.96244,0.37138,0.53595,7
ROUGE-2+StopWordRemoval+Stemming,TASK2,PERSIANREFERENCE7.TXT,0.96244,0.37138,0.53595,7
ROUGE-2+StopWordRemoval+Stemming,TASK2,PERSIANREFERENCE4.TXT,0.96244,0.37138,0.53595,7
ROUGE-2+StopWordRemoval+Stemming,TASK2,PERSIANREFERENCE5.TXT,0.96244,0.37138,0.53595,7
ROUGE-2+StopWordRemoval+Stemming,TASK2,PERSIANREFERENCE6.TXT,0.96244,0.37138,0.53595,7
ROUGE-1+StopWordRemoval+Stemming,TASK2,PERSIANREFERENCE1.TXT,0.97309,0.38475,0.55146,7
ROUGE-1+StopWordRemoval+Stemming,TASK2,PERSIANREFERENCE3.TXT,0.97309,0.38475,0.55146,7
ROUGE-1+StopWordRemoval+Stemming,TASK2,PERSIANREFERENCE2.TXT,0.97309,0.38475,0.55146,7
ROUGE-1+StopWordRemoval+Stemming,TASK2,PERSIANREFERENCE7.TXT,0.97309,0.38475,0.55146,7
ROUGE-1+StopWordRemoval+Stemming,TASK2,PERSIANREFERENCE4.TXT,0.97309,0.38475,0.55146,7
ROUGE-1+StopWordRemoval+Stemming,TASK2,PERSIANREFERENCE5.TXT,0.97309,0.38475,0.55146,7
ROUGE-1+StopWordRemoval+Stemming,TASK2,PERSIANREFERENCE6.TXT,0.97309,0.38475,0.55146,7
ROUGE-SU10+StopWordRemoval+Stemming,TASK2,PERSIANREFERENCE1.TXT,0.95693,0.32858,0.48919,7
ROUGE-SU10+StopWordRemoval+Stemming,TASK2,PERSIANREFERENCE3.TXT,0.95693,0.32858,0.48919,7
ROUGE-SU10+StopWordRemoval+Stemming,TASK2,PERSIANREFERENCE2.TXT,0.95693,0.32858,0.48919,7
ROUGE-SU10+StopWordRemoval+Stemming,TASK2,PERSIANREFERENCE7.TXT,0.95693,0.32858,0.48919,7
ROUGE-SU10+StopWordRemoval+Stemming,TASK2,PERSIANREFERENCE4.TXT,0.95693,0.32858,0.48919,7
ROUGE-SU10+StopWordRemoval+Stemming,TASK2,PERSIANREFERENCE5.TXT,0.95693,0.32858,0.48919,7
ROUGE-SU10+StopWordRemoval+Stemming,TASK2,PERSIANREFERENCE6.TXT,0.95693,0.32858,0.48919,7
