ROUGE-Type,Task Name,System Name,Avg_Recall,Avg_Precision,Avg_F-Score,Num Reference Summaries
ROUGE-L-topic,TASK1,ENGLISHSYSSUM2.TXT,0.26667,0.10256,0.14815,3
ROUGE-L-topic,TASK1,ENGLISHSYSSUM3.TXT,0.26667,0.22222,0.24242,3
ROUGE-L-topic,TASK1,ENGLISHSYSSUM1.TXT,0.26667,0.16667,0.20513,3
ROUGE-S1-topic,TASK1,ENGLISHSYSSUM2.TXT,0.26667,0.10256,0.14815,3
ROUGE-S1-topic,TASK1,ENGLISHSYSSUM3.TXT,0.26667,0.22222,0.24242,3
ROUGE-S1-topic,TASK1,ENGLISHSYSSUM1.TXT,0.26667,0.16667,0.20513,3
ROUGE-2-topic,TASK1,ENGLISHSYSSUM2.TXT,0.26667,0.10256,0.14815,3
ROUGE-2-topic,TASK1,ENGLISHSYSSUM3.TXT,0.26667,0.22222,0.24242,3
ROUGE-2-topic,TASK1,ENGLISHSYSSUM1.TXT,0.26667,0.16667,0.20513,3
ROUGE-1-topic,TASK1,ENGLISHSYSSUM2.TXT,0.26667,0.10256,0.14815,3
ROUGE-1-topic,TASK1,ENGLISHSYSSUM3.TXT,0.26667,0.22222,0.24242,3
ROUGE-1-topic,TASK1,ENGLISHSYSSUM1.TXT,0.26667,0.16667,0.20513,3
ROUGE-SU10-topic,TASK1,ENGLISHSYSSUM2.TXT,0.26667,0.10256,0.14815,3
ROUGE-SU10-topic,TASK1,ENGLISHSYSSUM3.TXT,0.26667,0.22222,0.24242,3
ROUGE-SU10-topic,TASK1,ENGLISHSYSSUM1.TXT,0.26667,0.16667,0.20513,3
