ROUGE-Type,Task Name,System Name,Avg_Recall,Avg_Precision,Avg_F-Score,Num Reference Summaries
ROUGE-L-topicUniq+Stemming,TASK1,ENGLISHSYSSUM2.TXT,0.26667,0.12121,0.16667,3
ROUGE-L-topicUniq+Stemming,TASK1,ENGLISHSYSSUM3.TXT,0.26667,0.26667,0.26667,3
ROUGE-L-topicUniq+Stemming,TASK1,ENGLISHSYSSUM1.TXT,0.26667,0.19048,0.22222,3
ROUGE-S1-topicUniq+Stemming,TASK1,ENGLISHSYSSUM2.TXT,0.26667,0.12121,0.16667,3
ROUGE-S1-topicUniq+Stemming,TASK1,ENGLISHSYSSUM3.TXT,0.26667,0.26667,0.26667,3
ROUGE-S1-topicUniq+Stemming,TASK1,ENGLISHSYSSUM1.TXT,0.26667,0.19048,0.22222,3
ROUGE-2-topicUniq+Stemming,TASK1,ENGLISHSYSSUM2.TXT,0.26667,0.12121,0.16667,3
ROUGE-2-topicUniq+Stemming,TASK1,ENGLISHSYSSUM3.TXT,0.26667,0.26667,0.26667,3
ROUGE-2-topicUniq+Stemming,TASK1,ENGLISHSYSSUM1.TXT,0.26667,0.19048,0.22222,3
ROUGE-1-topicUniq+Stemming,TASK1,ENGLISHSYSSUM2.TXT,0.26667,0.12121,0.16667,3
ROUGE-1-topicUniq+Stemming,TASK1,ENGLISHSYSSUM3.TXT,0.26667,0.26667,0.26667,3
ROUGE-1-topicUniq+Stemming,TASK1,ENGLISHSYSSUM1.TXT,0.26667,0.19048,0.22222,3
ROUGE-SU10-topicUniq+Stemming,TASK1,ENGLISHSYSSUM2.TXT,0.26667,0.12121,0.16667,3
ROUGE-SU10-topicUniq+Stemming,TASK1,ENGLISHSYSSUM3.TXT,0.26667,0.26667,0.26667,3
ROUGE-SU10-topicUniq+Stemming,TASK1,ENGLISHSYSSUM1.TXT,0.26667,0.19048,0.22222,3
