ROUGE-Type,Task Name,System Name,Avg_Recall,Avg_Precision,Avg_F-Score,Num Reference Summaries
ROUGE-L,TASK1,ENGLISHSYSSUM1.TXT,0.59184,0.65714,0.62278,7
ROUGE-L,TASK1,ENGLISHSYSSUM7.TXT,0.45918,0.71429,0.55901,7
ROUGE-L,TASK1,ENGLISHSYSSUM6.TXT,0.55102,0.18182,0.27342,7
ROUGE-L,TASK1,ENGLISHSYSSUM5.TXT,0.59184,0.65714,0.62278,7
ROUGE-L,TASK1,ENGLISHSYSSUM3.TXT,0.45918,0.71429,0.55901,7
ROUGE-L,TASK1,ENGLISHSYSSUM2.TXT,0.55102,0.18182,0.27342,7
ROUGE-L,TASK1,ENGLISHSYSSUM4.TXT,0.55102,0.18182,0.27342,7
ROUGE-S1,TASK1,ENGLISHSYSSUM1.TXT,0.10303,0.16071,0.12556,7
ROUGE-S1,TASK1,ENGLISHSYSSUM7.TXT,0.08398,0.20000,0.11829,7
ROUGE-S1,TASK1,ENGLISHSYSSUM6.TXT,0.00000,0.00000,0.00000,7
ROUGE-S1,TASK1,ENGLISHSYSSUM5.TXT,0.10303,0.16071,0.12556,7
ROUGE-S1,TASK1,ENGLISHSYSSUM3.TXT,0.08398,0.20000,0.11829,7
ROUGE-S1,TASK1,ENGLISHSYSSUM2.TXT,0.00000,0.00000,0.00000,7
ROUGE-S1,TASK1,ENGLISHSYSSUM4.TXT,0.00000,0.00000,0.00000,7
ROUGE-2,TASK1,ENGLISHSYSSUM1.TXT,0.10303,0.16071,0.12556,7
ROUGE-2,TASK1,ENGLISHSYSSUM7.TXT,0.08398,0.20000,0.11829,7
ROUGE-2,TASK1,ENGLISHSYSSUM6.TXT,0.00000,0.00000,0.00000,7
ROUGE-2,TASK1,ENGLISHSYSSUM5.TXT,0.10303,0.16071,0.12556,7
ROUGE-2,TASK1,ENGLISHSYSSUM3.TXT,0.08398,0.20000,0.11829,7
ROUGE-2,TASK1,ENGLISHSYSSUM2.TXT,0.00000,0.00000,0.00000,7
ROUGE-2,TASK1,ENGLISHSYSSUM4.TXT,0.00000,0.00000,0.00000,7
ROUGE-1,TASK1,ENGLISHSYSSUM1.TXT,0.59829,0.71429,0.65116,7
ROUGE-1,TASK1,ENGLISHSYSSUM7.TXT,0.42491,0.75000,0.54248,7
ROUGE-1,TASK1,ENGLISHSYSSUM6.TXT,0.63736,0.19565,0.29940,7
ROUGE-1,TASK1,ENGLISHSYSSUM5.TXT,0.59829,0.71429,0.65116,7
ROUGE-1,TASK1,ENGLISHSYSSUM3.TXT,0.42491,0.75000,0.54248,7
ROUGE-1,TASK1,ENGLISHSYSSUM2.TXT,0.63736,0.19565,0.29940,7
ROUGE-1,TASK1,ENGLISHSYSSUM4.TXT,0.63736,0.19565,0.29940,7
ROUGE-SU10,TASK1,ENGLISHSYSSUM1.TXT,0.24166,0.51648,0.32926,7
ROUGE-SU10,TASK1,ENGLISHSYSSUM7.TXT,0.16501,0.56250,0.25517,7
ROUGE-SU10,TASK1,ENGLISHSYSSUM6.TXT,0.36669,0.05865,0.10113,7
ROUGE-SU10,TASK1,ENGLISHSYSSUM5.TXT,0.24166,0.51648,0.32926,7
ROUGE-SU10,TASK1,ENGLISHSYSSUM3.TXT,0.16501,0.56250,0.25517,7
ROUGE-SU10,TASK1,ENGLISHSYSSUM2.TXT,0.36669,0.05865,0.10113,7
ROUGE-SU10,TASK1,ENGLISHSYSSUM4.TXT,0.36669,0.05865,0.10113,7
