ROUGE-Type,Task Name,System Name,Avg_Recall,Avg_Precision,Avg_F-Score,Num Reference Summaries
ROUGE-L,TASK1,ENGLISHSYSSUM4.TXT,0.76190,0.57071,0.65259,6
ROUGE-L,TASK1,ENGLISHSYSSUM5.TXT,0.59091,0.75000,0.66102,6
ROUGE-L,TASK1,ENGLISHSYSSUM6.TXT,0.76190,0.57071,0.65259,6
ROUGE-L,TASK1,ENGLISHSYSSUM3.TXT,0.47576,0.85714,0.61189,6
ROUGE-L,TASK1,ENGLISHSYSSUM2.TXT,0.76190,0.57071,0.65259,6
ROUGE-L,TASK1,ENGLISHSYSSUM1.TXT,0.59091,0.75000,0.66102,6
ROUGE-S1,TASK1,ENGLISHSYSSUM4.TXT,0.57500,0.51163,0.54147,6
ROUGE-S1,TASK1,ENGLISHSYSSUM5.TXT,0.51163,0.50000,0.50575,6
ROUGE-S1,TASK1,ENGLISHSYSSUM6.TXT,0.57500,0.51163,0.54147,6
ROUGE-S1,TASK1,ENGLISHSYSSUM3.TXT,0.38663,0.60000,0.47024,6
ROUGE-S1,TASK1,ENGLISHSYSSUM2.TXT,0.57500,0.51163,0.54147,6
ROUGE-S1,TASK1,ENGLISHSYSSUM1.TXT,0.51163,0.50000,0.50575,6
ROUGE-2,TASK1,ENGLISHSYSSUM4.TXT,0.57500,0.51163,0.54147,6
ROUGE-2,TASK1,ENGLISHSYSSUM5.TXT,0.51163,0.50000,0.50575,6
ROUGE-2,TASK1,ENGLISHSYSSUM6.TXT,0.57500,0.51163,0.54147,6
ROUGE-2,TASK1,ENGLISHSYSSUM3.TXT,0.38663,0.60000,0.47024,6
ROUGE-2,TASK1,ENGLISHSYSSUM2.TXT,0.57500,0.51163,0.54147,6
ROUGE-2,TASK1,ENGLISHSYSSUM1.TXT,0.51163,0.50000,0.50575,6
ROUGE-1,TASK1,ENGLISHSYSSUM4.TXT,0.89583,0.59058,0.71186,6
ROUGE-1,TASK1,ENGLISHSYSSUM5.TXT,0.59783,0.81944,0.69131,6
ROUGE-1,TASK1,ENGLISHSYSSUM6.TXT,0.89583,0.59058,0.71186,6
ROUGE-1,TASK1,ENGLISHSYSSUM3.TXT,0.46498,0.93750,0.62164,6
ROUGE-1,TASK1,ENGLISHSYSSUM2.TXT,0.89583,0.59058,0.71186,6
ROUGE-1,TASK1,ENGLISHSYSSUM1.TXT,0.59783,0.81944,0.69131,6
ROUGE-SU10,TASK1,ENGLISHSYSSUM4.TXT,0.77083,0.51760,0.61933,6
ROUGE-SU10,TASK1,ENGLISHSYSSUM5.TXT,0.51906,0.68590,0.59093,6
ROUGE-SU10,TASK1,ENGLISHSYSSUM6.TXT,0.77083,0.51760,0.61933,6
ROUGE-SU10,TASK1,ENGLISHSYSSUM3.TXT,0.38646,0.81250,0.52378,6
ROUGE-SU10,TASK1,ENGLISHSYSSUM2.TXT,0.77083,0.51760,0.61933,6
ROUGE-SU10,TASK1,ENGLISHSYSSUM1.TXT,0.51906,0.68590,0.59093,6
