ROUGE-Type,Task Name,System Name,Avg_Recall,Avg_Precision,Avg_F-Score,Num Reference Summaries
ROUGE-L,TASK1,ENGLISHSYSSUM1.TXT,0.59091,0.72500,0.65112,4
ROUGE-L,TASK1,ENGLISHSYSSUM4.TXT,0.76786,0.56818,0.65310,4
ROUGE-L,TASK1,ENGLISHSYSSUM3.TXT,0.50076,0.85714,0.63218,4
ROUGE-L,TASK1,ENGLISHSYSSUM2.TXT,0.76786,0.56818,0.65310,4
ROUGE-S1,TASK1,ENGLISHSYSSUM1.TXT,0.51163,0.46875,0.48925,4
ROUGE-S1,TASK1,ENGLISHSYSSUM4.TXT,0.58125,0.51163,0.54422,4
ROUGE-S1,TASK1,ENGLISHSYSSUM3.TXT,0.41788,0.60000,0.49265,4
ROUGE-S1,TASK1,ENGLISHSYSSUM2.TXT,0.58125,0.51163,0.54422,4
ROUGE-2,TASK1,ENGLISHSYSSUM1.TXT,0.51163,0.46875,0.48925,4
ROUGE-2,TASK1,ENGLISHSYSSUM4.TXT,0.58125,0.51163,0.54422,4
ROUGE-2,TASK1,ENGLISHSYSSUM3.TXT,0.41788,0.60000,0.49265,4
ROUGE-2,TASK1,ENGLISHSYSSUM2.TXT,0.58125,0.51163,0.54422,4
ROUGE-1,TASK1,ENGLISHSYSSUM1.TXT,0.59783,0.79167,0.68123,4
ROUGE-1,TASK1,ENGLISHSYSSUM4.TXT,0.90625,0.58696,0.71247,4
ROUGE-1,TASK1,ENGLISHSYSSUM3.TXT,0.49275,0.93750,0.64598,4
ROUGE-1,TASK1,ENGLISHSYSSUM2.TXT,0.90625,0.58696,0.71247,4
ROUGE-SU10,TASK1,ENGLISHSYSSUM1.TXT,0.51906,0.65385,0.57871,4
ROUGE-SU10,TASK1,ENGLISHSYSSUM4.TXT,0.78125,0.51686,0.62213,4
ROUGE-SU10,TASK1,ENGLISHSYSSUM3.TXT,0.41851,0.81250,0.55245,4
ROUGE-SU10,TASK1,ENGLISHSYSSUM2.TXT,0.78125,0.51686,0.62213,4
