ROUGE-Type,Task Name,System Name,Avg_Recall,Avg_Precision,Avg_F-Score,Num Reference Summaries
ROUGE-L,TASK1,ENGLISHREFERENCE2.TXT,0.46948,0.44643,0.45766,4
ROUGE-L,TASK1,ENGLISHREFERENCE1.TXT,0.41948,0.57500,0.48508,4
ROUGE-L,TASK1,ENGLISHREFERENCE3.TXT,0.41948,0.57500,0.48508,4
ROUGE-S1,TASK1,ENGLISHREFERENCE2.TXT,0.11250,0.05000,0.06923,4
ROUGE-S1,TASK1,ENGLISHREFERENCE1.TXT,0.08125,0.04545,0.05830,4
ROUGE-S1,TASK1,ENGLISHREFERENCE3.TXT,0.08125,0.04545,0.05830,4
ROUGE-2,TASK1,ENGLISHREFERENCE2.TXT,0.11250,0.05000,0.06923,4
ROUGE-2,TASK1,ENGLISHREFERENCE1.TXT,0.08125,0.04545,0.05830,4
ROUGE-2,TASK1,ENGLISHREFERENCE3.TXT,0.08125,0.04545,0.05830,4
ROUGE-1,TASK1,ENGLISHREFERENCE2.TXT,0.49366,0.47222,0.48270,4
ROUGE-1,TASK1,ENGLISHREFERENCE1.TXT,0.45199,0.61538,0.52118,4
ROUGE-1,TASK1,ENGLISHREFERENCE3.TXT,0.45199,0.61538,0.52118,4
ROUGE-SU10,TASK1,ENGLISHREFERENCE2.TXT,0.33341,0.25000,0.28574,4
ROUGE-SU10,TASK1,ENGLISHREFERENCE1.TXT,0.28534,0.29902,0.29202,4
ROUGE-SU10,TASK1,ENGLISHREFERENCE3.TXT,0.28534,0.29902,0.29202,4
