ROUGE-Type,Task Name,System Name,Avg_Recall,Avg_Precision,Avg_F-Score,Num Reference Summaries
ROUGE-1,TASK1,ENGLISHREFERENCE3.TXT,0.53744,0.58974,0.56238,3
ROUGE-1,TASK1,ENGLISHREFERENCE2.TXT,0.59300,0.46296,0.51997,3
ROUGE-1,TASK1,ENGLISHREFERENCE4.TXT,0.53744,0.58974,0.56238,3
ROUGE-1,TASK1,ENGLISHREFERENCE1.TXT,0.53744,0.58974,0.56238,3
ROUGE-2,TASK1,ENGLISHREFERENCE3.TXT,0.10833,0.06061,0.07773,3
ROUGE-2,TASK1,ENGLISHREFERENCE2.TXT,0.15000,0.06667,0.09231,3
ROUGE-2,TASK1,ENGLISHREFERENCE4.TXT,0.10833,0.06061,0.07773,3
ROUGE-2,TASK1,ENGLISHREFERENCE1.TXT,0.10833,0.06061,0.07773,3
ROUGE-L,TASK1,ENGLISHREFERENCE3.TXT,0.49870,0.56667,0.53052,3
ROUGE-L,TASK1,ENGLISHREFERENCE2.TXT,0.56537,0.45238,0.50260,3
ROUGE-L,TASK1,ENGLISHREFERENCE4.TXT,0.49870,0.56667,0.53052,3
ROUGE-L,TASK1,ENGLISHREFERENCE1.TXT,0.49870,0.56667,0.53052,3
ROUGE-S1,TASK1,ENGLISHREFERENCE3.TXT,0.10833,0.06061,0.07773,3
ROUGE-S1,TASK1,ENGLISHREFERENCE2.TXT,0.15000,0.06667,0.09231,3
ROUGE-S1,TASK1,ENGLISHREFERENCE4.TXT,0.10833,0.06061,0.07773,3
ROUGE-S1,TASK1,ENGLISHREFERENCE1.TXT,0.10833,0.06061,0.07773,3
