ROUGE-Type,Task Name,System Name,Avg_Recall,Avg_Precision,Avg_F-Score,Num Reference Summaries
ROUGE-L,TASK1,ENGLISHSYSSUM4.TXT,0.71429,0.48485,0.57762,5
ROUGE-L,TASK1,ENGLISHSYSSUM1.TXT,0.67273,0.78000,0.72240,5
ROUGE-L,TASK1,ENGLISHSYSSUM2.TXT,0.71429,0.48485,0.57762,5
ROUGE-L,TASK1,ENGLISHSYSSUM3.TXT,0.54061,0.88571,0.67141,5
ROUGE-S1,TASK1,ENGLISHSYSSUM4.TXT,0.49000,0.41395,0.44878,5
ROUGE-S1,TASK1,ENGLISHSYSSUM1.TXT,0.60930,0.57500,0.59165,5
ROUGE-S1,TASK1,ENGLISHSYSSUM2.TXT,0.49000,0.41395,0.44878,5
ROUGE-S1,TASK1,ENGLISHSYSSUM3.TXT,0.45930,0.68000,0.54828,5
ROUGE-2,TASK1,ENGLISHSYSSUM4.TXT,0.49000,0.41395,0.44878,5
ROUGE-2,TASK1,ENGLISHSYSSUM1.TXT,0.60930,0.57500,0.59165,5
ROUGE-2,TASK1,ENGLISHSYSSUM2.TXT,0.49000,0.41395,0.44878,5
ROUGE-2,TASK1,ENGLISHSYSSUM3.TXT,0.45930,0.68000,0.54828,5
ROUGE-1,TASK1,ENGLISHSYSSUM4.TXT,0.87500,0.50870,0.64336,5
ROUGE-1,TASK1,ENGLISHSYSSUM1.TXT,0.67826,0.83333,0.74784,5
ROUGE-1,TASK1,ENGLISHSYSSUM2.TXT,0.87500,0.50870,0.64336,5
ROUGE-1,TASK1,ENGLISHSYSSUM3.TXT,0.52754,0.95000,0.67837,5
ROUGE-SU10,TASK1,ENGLISHSYSSUM4.TXT,0.72500,0.42111,0.53277,5
ROUGE-SU10,TASK1,ENGLISHSYSSUM1.TXT,0.61525,0.72308,0.66482,5
ROUGE-SU10,TASK1,ENGLISHSYSSUM2.TXT,0.72500,0.42111,0.53277,5
ROUGE-SU10,TASK1,ENGLISHSYSSUM3.TXT,0.45788,0.85000,0.59516,5
