ROUGE-Type,Task Name,System Name,Avg_Recall,Avg_Precision,Avg_F-Score,Num Reference Summaries
ROUGE-L,TASK1,ENGLISHSYSSUM2.TXT,0.75000,0.57576,0.65143,2
ROUGE-L,TASK1,ENGLISHSYSSUM1.TXT,0.59091,0.80000,0.67974,2
ROUGE-S1,TASK1,ENGLISHSYSSUM2.TXT,0.56250,0.51163,0.53586,2
ROUGE-S1,TASK1,ENGLISHSYSSUM1.TXT,0.51163,0.56250,0.53586,2
ROUGE-2,TASK1,ENGLISHSYSSUM2.TXT,0.56250,0.51163,0.53586,2
ROUGE-2,TASK1,ENGLISHSYSSUM1.TXT,0.51163,0.56250,0.53586,2
ROUGE-1,TASK1,ENGLISHSYSSUM2.TXT,0.87500,0.59783,0.71033,2
ROUGE-1,TASK1,ENGLISHSYSSUM1.TXT,0.59783,0.87500,0.71033,2
ROUGE-SU10,TASK1,ENGLISHSYSSUM2.TXT,0.75000,0.51906,0.61352,2
ROUGE-SU10,TASK1,ENGLISHSYSSUM1.TXT,0.51906,0.75000,0.61352,2
