ROUGE-Type,Task Name,System Name,Avg_Recall,Avg_Precision,Avg_F-Score,Num Reference Summaries
ROUGE-L,TASK1,ENGLISHSYSSUM1.TXT,0.72727,0.76667,0.74645,3
ROUGE-L,TASK1,ENGLISHSYSSUM2.TXT,0.69048,0.42424,0.52557,3
ROUGE-L,TASK1,ENGLISHSYSSUM3.TXT,0.61717,0.90476,0.73379,3
ROUGE-S1,TASK1,ENGLISHSYSSUM1.TXT,0.67442,0.58333,0.62558,3
ROUGE-S1,TASK1,ENGLISHSYSSUM2.TXT,0.44167,0.34884,0.38980,3
ROUGE-S1,TASK1,ENGLISHSYSSUM3.TXT,0.54942,0.73333,0.62819,3
ROUGE-2,TASK1,ENGLISHSYSSUM1.TXT,0.67442,0.58333,0.62558,3
ROUGE-2,TASK1,ENGLISHSYSSUM2.TXT,0.44167,0.34884,0.38980,3
ROUGE-2,TASK1,ENGLISHSYSSUM3.TXT,0.54942,0.73333,0.62819,3
ROUGE-1,TASK1,ENGLISHSYSSUM1.TXT,0.73188,0.80556,0.76695,3
ROUGE-1,TASK1,ENGLISHSYSSUM2.TXT,0.87500,0.44928,0.59371,3
ROUGE-1,TASK1,ENGLISHSYSSUM3.TXT,0.60628,0.95833,0.74270,3
ROUGE-SU10,TASK1,ENGLISHSYSSUM1.TXT,0.67937,0.70513,0.69201,3
ROUGE-SU10,TASK1,ENGLISHSYSSUM2.TXT,0.70833,0.35582,0.47369,3
ROUGE-SU10,TASK1,ENGLISHSYSSUM3.TXT,0.54824,0.87500,0.67411,3
