ROUGE-Type,Task Name,System Name,Avg_Recall,Avg_Precision,Avg_F-Score,Num Reference Summaries
ROUGE-L,TASK1,ENGLISHSYSSUM11.TXT,0.59429,0.64000,0.61630,20
ROUGE-L,TASK1,ENGLISHSYSSUM6.TXT,0.56571,0.18182,0.27519,20
ROUGE-L,TASK1,ENGLISHSYSSUM3.TXT,0.47143,0.71429,0.56799,20
ROUGE-L,TASK1,ENGLISHSYSSUM1.TXT,0.59429,0.64000,0.61630,20
ROUGE-L,TASK1,ENGLISHSYSSUM4.TXT,0.56571,0.18182,0.27519,20
ROUGE-L,TASK1,ENGLISHSYSSUM20.TXT,0.47143,0.71429,0.56799,20
ROUGE-L,TASK1,ENGLISHSYSSUM14.TXT,0.56571,0.18182,0.27519,20
ROUGE-L,TASK1,ENGLISHSYSSUM18.TXT,0.56571,0.18182,0.27519,20
ROUGE-L,TASK1,ENGLISHSYSSUM8.TXT,0.56571,0.18182,0.27519,20
ROUGE-L,TASK1,ENGLISHSYSSUM16.TXT,0.56571,0.18182,0.27519,20
ROUGE-L,TASK1,ENGLISHSYSSUM7.TXT,0.47143,0.71429,0.56799,20
ROUGE-L,TASK1,ENGLISHSYSSUM12.TXT,0.56571,0.18182,0.27519,20
ROUGE-L,TASK1,ENGLISHSYSSUM10.TXT,0.47143,0.71429,0.56799,20
ROUGE-L,TASK1,ENGLISHSYSSUM2.TXT,0.56571,0.18182,0.27519,20
ROUGE-L,TASK1,ENGLISHSYSSUM19.TXT,0.56571,0.18182,0.27519,20
ROUGE-L,TASK1,ENGLISHSYSSUM13.TXT,0.47143,0.71429,0.56799,20
ROUGE-L,TASK1,ENGLISHSYSSUM5.TXT,0.59429,0.64000,0.61630,20
ROUGE-L,TASK1,ENGLISHSYSSUM15.TXT,0.59429,0.64000,0.61630,20
ROUGE-L,TASK1,ENGLISHSYSSUM17.TXT,0.47143,0.71429,0.56799,20
ROUGE-L,TASK1,ENGLISHSYSSUM9.TXT,0.56571,0.18182,0.27519,20
ROUGE-S1,TASK1,ENGLISHSYSSUM11.TXT,0.09939,0.15000,0.11956,20
ROUGE-S1,TASK1,ENGLISHSYSSUM6.TXT,0.00000,0.00000,0.00000,20
ROUGE-S1,TASK1,ENGLISHSYSSUM3.TXT,0.08606,0.20000,0.12034,20
ROUGE-S1,TASK1,ENGLISHSYSSUM1.TXT,0.09939,0.15000,0.11956,20
ROUGE-S1,TASK1,ENGLISHSYSSUM4.TXT,0.00000,0.00000,0.00000,20
ROUGE-S1,TASK1,ENGLISHSYSSUM20.TXT,0.08606,0.20000,0.12034,20
ROUGE-S1,TASK1,ENGLISHSYSSUM14.TXT,0.00000,0.00000,0.00000,20
ROUGE-S1,TASK1,ENGLISHSYSSUM18.TXT,0.00000,0.00000,0.00000,20
ROUGE-S1,TASK1,ENGLISHSYSSUM8.TXT,0.00000,0.00000,0.00000,20
ROUGE-S1,TASK1,ENGLISHSYSSUM16.TXT,0.00000,0.00000,0.00000,20
ROUGE-S1,TASK1,ENGLISHSYSSUM7.TXT,0.08606,0.20000,0.12034,20
