ROUGE-Type,Task Name,System Name,Avg_Recall,Avg_Precision,Avg_F-Score,Num Reference Summaries
ROUGE-L,C1,B.TXT,0.04040,0.01606,0.02299,3
ROUGE-L,C1,C.TXT,0.04040,0.02299,0.02930,3
ROUGE-L,C1,A.TXT,0.04040,0.01802,0.02492,3
ROUGE-L,C1,D.TXT,0.04040,0.01190,0.01839,3
ROUGE-S1,C1,B.TXT,0.00000,0.00000,0.00000,3
ROUGE-S1,C1,C.TXT,0.00000,0.00000,0.00000,3
ROUGE-S1,C1,A.TXT,0.00000,0.00000,0.00000,3
ROUGE-S1,C1,D.TXT,0.00000,0.00000,0.00000,3
ROUGE-2,C1,B.TXT,0.00000,0.00000,0.00000,3
ROUGE-2,C1,C.TXT,0.00000,0.00000,0.00000,3
ROUGE-2,C1,A.TXT,0.00000,0.00000,0.00000,3
ROUGE-2,C1,D.TXT,0.00000,0.00000,0.00000,3
ROUGE-1,C1,B.TXT,0.02899,0.01067,0.01559,3
ROUGE-1,C1,C.TXT,0.02899,0.01515,0.01990,3
ROUGE-1,C1,A.TXT,0.02899,0.01418,0.01905,3
ROUGE-1,C1,D.TXT,0.02899,0.00721,0.01154,3
ROUGE-SU10,C1,B.TXT,0.00391,0.00115,0.00178,3
ROUGE-SU10,C1,C.TXT,0.00587,0.00267,0.00367,3
ROUGE-SU10,C1,A.TXT,0.00391,0.00201,0.00265,3
ROUGE-SU10,C1,D.TXT,0.00587,0.00121,0.00201,3
