ROUGE-Type,Task Name,System Name,Avg_Recall,Avg_Precision,Avg_F-Score,Num Reference Summaries
ROUGE-L,C1,A2.TXT,0.03784,0.06667,0.04827,5
ROUGE-L,C1,A3.TXT,0.00000,0.00000,0.00000,5
ROUGE-L,C1,A4.TXT,0.03784,0.06667,0.04827,5
ROUGE-L,C1,A1.TXT,0.00000,0.00000,0.00000,5
ROUGE-S1,C1,A2.TXT,0.00000,0.00000,0.00000,5
ROUGE-S1,C1,A3.TXT,0.00000,0.00000,0.00000,5
ROUGE-S1,C1,A4.TXT,0.00000,0.00000,0.00000,5
ROUGE-S1,C1,A1.TXT,0.00000,0.00000,0.00000,5
ROUGE-2,C1,A2.TXT,0.00000,0.00000,0.00000,5
ROUGE-2,C1,A3.TXT,0.00000,0.00000,0.00000,5
ROUGE-2,C1,A4.TXT,0.00000,0.00000,0.00000,5
ROUGE-2,C1,A1.TXT,0.00000,0.00000,0.00000,5
ROUGE-1,C1,A2.TXT,0.02666,0.05217,0.03529,5
ROUGE-1,C1,A3.TXT,0.00000,0.00000,0.00000,5
ROUGE-1,C1,A4.TXT,0.02666,0.05217,0.03529,5
ROUGE-1,C1,A1.TXT,0.00000,0.00000,0.00000,5
ROUGE-SU10,C1,A2.TXT,0.00550,0.00880,0.00677,5
ROUGE-SU10,C1,A3.TXT,0.00000,0.00000,0.00000,5
ROUGE-SU10,C1,A4.TXT,0.00550,0.00880,0.00677,5
ROUGE-SU10,C1,A1.TXT,0.00000,0.00000,0.00000,5
