ROUGE-Type,Task Name,System Name,Avg_Recall,Avg_Precision,Avg_F-Score,Num Reference Summaries
ROUGE-L,C1,A4.TXT,0.02854,0.06061,0.03880,3
ROUGE-L,C1,A1.TXT,0.00000,0.00000,0.00000,3
ROUGE-L,C1,A3.TXT,0.00000,0.00000,0.00000,3
ROUGE-1,C1,A4.TXT,0.02000,0.04348,0.02740,3
ROUGE-1,C1,A1.TXT,0.00000,0.00000,0.00000,3
ROUGE-1,C1,A3.TXT,0.00000,0.00000,0.00000,3
ROUGE-2,C1,A4.TXT,0.00000,0.00000,0.00000,3
ROUGE-2,C1,A1.TXT,0.00000,0.00000,0.00000,3
ROUGE-2,C1,A3.TXT,0.00000,0.00000,0.00000,3
ROUGE-SU4,C1,A4.TXT,0.00447,0.01000,0.00618,3
ROUGE-SU4,C1,A1.TXT,0.00000,0.00000,0.00000,3
ROUGE-SU4,C1,A3.TXT,0.00000,0.00000,0.00000,3
