ROUGE-Type,Task Name,System Name,Avg_Recall,Avg_Precision,Avg_F-Score,Num Reference Summaries
ROUGE-L,TASK1,ENGLISHSYSSUM3.TXT,0.47619,0.71429,0.57143,6
ROUGE-L,TASK1,ENGLISHSYSSUM1.TXT,0.59524,0.63333,0.61370,6
ROUGE-L,TASK1,ENGLISHSYSSUM2.TXT,0.57143,0.18182,0.27586,6
ROUGE-L,TASK1,ENGLISHSYSSUM5.TXT,0.59524,0.63333,0.61370,6
ROUGE-L,TASK1,ENGLISHSYSSUM4.TXT,0.57143,0.18182,0.27586,6
ROUGE-1,TASK1,ENGLISHSYSSUM3.TXT,0.44017,0.75000,0.55476,6
ROUGE-1,TASK1,ENGLISHSYSSUM1.TXT,0.60541,0.69444,0.64688,6
ROUGE-1,TASK1,ENGLISHSYSSUM2.TXT,0.66026,0.19565,0.30186,6
ROUGE-1,TASK1,ENGLISHSYSSUM5.TXT,0.60541,0.69444,0.64688,6
ROUGE-1,TASK1,ENGLISHSYSSUM4.TXT,0.66026,0.19565,0.30186,6
ROUGE-2,TASK1,ENGLISHSYSSUM3.TXT,0.08687,0.20000,0.12113,6
ROUGE-2,TASK1,ENGLISHSYSSUM1.TXT,0.09798,0.14583,0.11721,6
ROUGE-2,TASK1,ENGLISHSYSSUM2.TXT,0.00000,0.00000,0.00000,6
ROUGE-2,TASK1,ENGLISHSYSSUM5.TXT,0.09798,0.14583,0.11721,6
ROUGE-2,TASK1,ENGLISHSYSSUM4.TXT,0.00000,0.00000,0.00000,6
ROUGE-SU4,TASK1,ENGLISHSYSSUM3.TXT,0.17037,0.50000,0.25414,6
ROUGE-SU4,TASK1,ENGLISHSYSSUM1.TXT,0.24815,0.45513,0.32118,6
ROUGE-SU4,TASK1,ENGLISHSYSSUM2.TXT,0.29815,0.07000,0.11338,6
ROUGE-SU4,TASK1,ENGLISHSYSSUM5.TXT,0.24815,0.45513,0.32118,6
ROUGE-SU4,TASK1,ENGLISHSYSSUM4.TXT,0.29815,0.07000,0.11338,6
