ROUGE-Type,Task Name,System Name,Avg_Recall,Avg_Precision,Avg_F-Score,Num Reference Summaries
ROUGE-L,TASK1,ENGLISHSYSSUM3.TXT,0.47143,0.71429,0.56799,5
ROUGE-L,TASK1,ENGLISHSYSSUM2.TXT,0.56571,0.18182,0.27519,5
ROUGE-L,TASK1,ENGLISHSYSSUM4.TXT,0.56571,0.18182,0.27519,5
ROUGE-L,TASK1,ENGLISHSYSSUM1.TXT,0.59429,0.64000,0.61630,5
ROUGE-1,TASK1,ENGLISHSYSSUM3.TXT,0.43590,0.75000,0.55135,5
ROUGE-1,TASK1,ENGLISHSYSSUM2.TXT,0.65385,0.19565,0.30118,5
ROUGE-1,TASK1,ENGLISHSYSSUM4.TXT,0.65385,0.19565,0.30118,5
ROUGE-1,TASK1,ENGLISHSYSSUM1.TXT,0.60342,0.70000,0.64813,5
ROUGE-2,TASK1,ENGLISHSYSSUM3.TXT,0.08606,0.20000,0.12034,5
ROUGE-2,TASK1,ENGLISHSYSSUM2.TXT,0.00000,0.00000,0.00000,5
ROUGE-2,TASK1,ENGLISHSYSSUM4.TXT,0.00000,0.00000,0.00000,5
ROUGE-2,TASK1,ENGLISHSYSSUM1.TXT,0.09939,0.15000,0.11956,5
ROUGE-SU4,TASK1,ENGLISHSYSSUM3.TXT,0.16889,0.50000,0.25249,5
ROUGE-SU4,TASK1,ENGLISHSYSSUM2.TXT,0.29556,0.07000,0.11319,5
ROUGE-SU4,TASK1,ENGLISHSYSSUM4.TXT,0.29556,0.07000,0.11319,5
ROUGE-SU4,TASK1,ENGLISHSYSSUM1.TXT,0.24889,0.46154,0.32339,5
