ROUGE-Type,Task Name,System Name,Avg_Recall,Avg_Precision,Avg_F-Score,Num Reference Summaries
ROUGE-L,TASK1,TASK1SUMARIO03.TXT,NaN,NaN,0.00000,0
ROUGE-L,TASK1,TASK1SUMARIO04.TXT,NaN,NaN,0.00000,0
ROUGE-L,TASK1,TASK1SUMARIO10.TXT,NaN,NaN,0.00000,0
ROUGE-L,TASK1,TASK1SUMARIO07.TXT,NaN,NaN,0.00000,0
ROUGE-L,TASK1,TASK1SUMARIO08.TXT,NaN,NaN,0.00000,0
ROUGE-L,TASK1,TASK1SUMARIO09.TXT,NaN,NaN,0.00000,0
ROUGE-L,TASK1,TASK1SUMARIO06.TXT,NaN,NaN,0.00000,0
ROUGE-L,TASK1,TASK1SUMARIO05.TXT,NaN,NaN,0.00000,0
ROUGE-L,TASK1,TASK1SUMARIO02.TXT,NaN,NaN,0.00000,0
ROUGE-L,TASK1,TASK1SUMARIO01.TXT,NaN,NaN,0.00000,0
ROUGE-1,TASK1,TASK1SUMARIO03.TXT,NaN,NaN,0.00000,0
ROUGE-1,TASK1,TASK1SUMARIO04.TXT,NaN,NaN,0.00000,0
ROUGE-1,TASK1,TASK1SUMARIO10.TXT,NaN,NaN,0.00000,0
ROUGE-1,TASK1,TASK1SUMARIO07.TXT,NaN,NaN,0.00000,0
ROUGE-1,TASK1,TASK1SUMARIO08.TXT,NaN,NaN,0.00000,0
ROUGE-1,TASK1,TASK1SUMARIO09.TXT,NaN,NaN,0.00000,0
ROUGE-1,TASK1,TASK1SUMARIO06.TXT,NaN,NaN,0.00000,0
ROUGE-1,TASK1,TASK1SUMARIO05.TXT,NaN,NaN,0.00000,0
ROUGE-1,TASK1,TASK1SUMARIO02.TXT,NaN,NaN,0.00000,0
ROUGE-1,TASK1,TASK1SUMARIO01.TXT,NaN,NaN,0.00000,0
ROUGE-2,TASK1,TASK1SUMARIO03.TXT,NaN,NaN,0.00000,0
ROUGE-2,TASK1,TASK1SUMARIO04.TXT,NaN,NaN,0.00000,0
ROUGE-2,TASK1,TASK1SUMARIO10.TXT,NaN,NaN,0.00000,0
ROUGE-2,TASK1,TASK1SUMARIO07.TXT,NaN,NaN,0.00000,0
ROUGE-2,TASK1,TASK1SUMARIO08.TXT,NaN,NaN,0.00000,0
ROUGE-2,TASK1,TASK1SUMARIO09.TXT,NaN,NaN,0.00000,0
ROUGE-2,TASK1,TASK1SUMARIO06.TXT,NaN,NaN,0.00000,0
ROUGE-2,TASK1,TASK1SUMARIO05.TXT,NaN,NaN,0.00000,0
ROUGE-2,TASK1,TASK1SUMARIO02.TXT,NaN,NaN,0.00000,0
ROUGE-2,TASK1,TASK1SUMARIO01.TXT,NaN,NaN,0.00000,0
ROUGE-SU4,TASK1,TASK1SUMARIO03.TXT,NaN,NaN,0.00000,0
ROUGE-SU4,TASK1,TASK1SUMARIO04.TXT,NaN,NaN,0.00000,0
ROUGE-SU4,TASK1,TASK1SUMARIO10.TXT,NaN,NaN,0.00000,0
ROUGE-SU4,TASK1,TASK1SUMARIO07.TXT,NaN,NaN,0.00000,0
ROUGE-SU4,TASK1,TASK1SUMARIO08.TXT,NaN,NaN,0.00000,0
ROUGE-SU4,TASK1,TASK1SUMARIO09.TXT,NaN,NaN,0.00000,0
ROUGE-SU4,TASK1,TASK1SUMARIO06.TXT,NaN,NaN,0.00000,0
ROUGE-SU4,TASK1,TASK1SUMARIO05.TXT,NaN,NaN,0.00000,0
ROUGE-SU4,TASK1,TASK1SUMARIO02.TXT,NaN,NaN,0.00000,0
ROUGE-SU4,TASK1,TASK1SUMARIO01.TXT,NaN,NaN,0.00000,0
