ROUGE-Type,Task Name,System Name,Avg_Recall,Avg_Precision,Avg_F-Score,Num Reference Summaries
ROUGE-L,TASK1,TASK1ENGLISHSYSSUM3.TXT,0.00014,0.17857,0.00028,4
ROUGE-L,TASK1,TASK1ENGLISHSYSSUM2.TXT,0.00148,0.36364,0.00295,4
ROUGE-L,TASK1,TASK1ENGLISHSYSSUM1.TXT,0.00024,0.20000,0.00047,4
ROUGE-1,TASK1,TASK1ENGLISHSYSSUM3.TXT,0.00002,0.15625,0.00004,4
ROUGE-1,TASK1,TASK1ENGLISHSYSSUM2.TXT,0.00035,0.40761,0.00070,4
ROUGE-1,TASK1,TASK1ENGLISHSYSSUM1.TXT,0.00005,0.22917,0.00010,4
ROUGE-2,TASK1,TASK1ENGLISHSYSSUM3.TXT,0.00000,0.00000,0.00000,4
ROUGE-2,TASK1,TASK1ENGLISHSYSSUM2.TXT,0.00007,0.09302,0.00013,4
ROUGE-2,TASK1,TASK1ENGLISHSYSSUM1.TXT,0.00000,0.00000,0.00000,4
ROUGE-SU4,TASK1,TASK1ENGLISHSYSSUM3.TXT,0.00001,0.09375,0.00001,4
ROUGE-SU4,TASK1,TASK1ENGLISHSYSSUM2.TXT,0.00014,0.18250,0.00028,4
ROUGE-SU4,TASK1,TASK1ENGLISHSYSSUM1.TXT,0.00001,0.14423,0.00003,4
