ROUGE-Type,Task Name,System Name,Avg_Recall,Avg_Precision,Avg_F-Score,Num Reference Summaries
ROUGE-1,TASK1,TASK1SUMARIO05.TXT,0.08778,0.26948,0.13242,12
ROUGE-1,TASK1,TASK1SUMARIO06.TXT,0.10193,0.72339,0.17868,12
ROUGE-1,TASK1,TASK1SUMARIO12.TXT,0.20892,0.66504,0.31795,12
ROUGE-1,TASK1,TASK1SUMARIO10.TXT,0.08533,0.74350,0.15310,12
ROUGE-1,TASK1,TASK1SUMARIO09.TXT,0.22833,0.67510,0.34124,12
ROUGE-1,TASK1,TASK1SUMARIO08.TXT,0.13217,0.63192,0.21862,12
ROUGE-1,TASK1,TASK1SUMARIO07.TXT,0.07607,0.68546,0.13695,12
ROUGE-1,TASK1,TASK1SUMARIO04.TXT,0.17297,0.68545,0.27624,12
ROUGE-1,TASK1,TASK1SUMARIO01.TXT,0.17890,0.64425,0.28003,12
ROUGE-1,TASK1,TASK1SUMARIO02.TXT,0.09876,0.74292,0.17435,12
ROUGE-1,TASK1,TASK1SUMARIO03.TXT,0.12114,0.72827,0.20773,12
