ROUGE-Type,Task Name,System Name,Avg_Recall,Avg_Precision,Avg_F-Score,Num Reference Summaries
ROUGE-1+Stemming,TASK1,ENGLISHSYSSUM1.TXT,0.60043,0.70833,0.64993,4
ROUGE-1+Stemming,TASK1,ENGLISHSYSSUM2.TXT,0.64423,0.19565,0.30015,4
ROUGE-1+Stemming,TASK1,ENGLISHSYSSUM3.TXT,0.42949,0.75000,0.54620,4
ROUGE-2+Stemming,TASK1,ENGLISHSYSSUM1.TXT,0.10152,0.15625,0.12307,4
ROUGE-2+Stemming,TASK1,ENGLISHSYSSUM2.TXT,0.00000,0.00000,0.00000,4
ROUGE-2+Stemming,TASK1,ENGLISHSYSSUM3.TXT,0.08485,0.20000,0.11915,4
ROUGE-1+Stemming,C1,TASK1,NaN,NaN,0.00000,0
ROUGE-1+Stemming,C1,TASK1,NaN,NaN,0.00000,0
ROUGE-1+Stemming,C1,TASK1,NaN,NaN,0.00000,0
ROUGE-2+Stemming,C1,TASK1,NaN,NaN,0.00000,0
ROUGE-2+Stemming,C1,TASK1,NaN,NaN,0.00000,0
ROUGE-2+Stemming,C1,TASK1,NaN,NaN,0.00000,0
