ROUGE-Type,Task Name,System Name,Avg_Recall,Avg_Precision,Avg_F-Score,Num Reference Summaries
ROUGE-L,TASK1,ENGLISHSYSSUM6.TXT,0.51429,0.18182,0.26866,2
ROUGE-L,TASK1,ENGLISHSYSSUM5.TXT,0.58571,0.70000,0.63778,2
ROUGE-L,TASK1,ENGLISHSYSSUM4.TXT,0.51429,0.18182,0.26866,2
ROUGE-1,TASK1,ENGLISHSYSSUM6.TXT,0.59615,0.19565,0.29461,2
ROUGE-1,TASK1,ENGLISHSYSSUM5.TXT,0.58547,0.75000,0.65760,2
ROUGE-1,TASK1,ENGLISHSYSSUM4.TXT,0.59615,0.19565,0.29461,2
ROUGE-2,TASK1,ENGLISHSYSSUM6.TXT,0.00000,0.00000,0.00000,2
ROUGE-2,TASK1,ENGLISHSYSSUM5.TXT,0.11212,0.18750,0.14033,2
ROUGE-2,TASK1,ENGLISHSYSSUM4.TXT,0.00000,0.00000,0.00000,2
ROUGE-SU4,TASK1,ENGLISHSYSSUM6.TXT,0.27222,0.07000,0.11136,2
ROUGE-SU4,TASK1,ENGLISHSYSSUM5.TXT,0.25556,0.51923,0.34253,2
ROUGE-SU4,TASK1,ENGLISHSYSSUM4.TXT,0.27222,0.07000,0.11136,2
