ROUGE-Type,Task Name,System Name,Avg_Recall,Avg_Precision,Avg_F-Score,Num Reference Summaries
ROUGE-L,TASK1,ENGLISHSYSSUM20.TXT,0.50000,0.71429,0.58824,2
ROUGE-L,TASK1,ENGLISHSYSSUM19.TXT,0.60000,0.18182,0.27907,2
ROUGE-1,TASK1,ENGLISHSYSSUM20.TXT,0.46154,0.75000,0.57143,2
ROUGE-1,TASK1,ENGLISHSYSSUM19.TXT,0.69231,0.19565,0.30508,2
ROUGE-2,TASK1,ENGLISHSYSSUM20.TXT,0.09091,0.20000,0.12500,2
ROUGE-2,TASK1,ENGLISHSYSSUM19.TXT,0.00000,0.00000,0.00000,2
ROUGE-SU4,TASK1,ENGLISHSYSSUM20.TXT,0.17778,0.50000,0.26230,2
ROUGE-SU4,TASK1,ENGLISHSYSSUM19.TXT,0.31111,0.07000,0.11429,2
ROUGE-L,TASK2,PERSIANSYSSUM21.TXT,0.49097,0.97842,0.65385,12
ROUGE-L,TASK2,PERSIANSYSSUM22.TXT,0.49097,0.97842,0.65385,12
ROUGE-L,TASK2,PERSIANSYSSUM19.TXT,0.49097,0.97842,0.65385,12
ROUGE-L,TASK2,PERSIANSYSSUM20.TXT,0.49097,0.97842,0.65385,12
ROUGE-L,TASK2,PERSIANSYSSUM24.TXT,0.49097,0.97842,0.65385,12
ROUGE-L,TASK2,PERSIANSYSSUM17.TXT,0.49097,0.97842,0.65385,12
ROUGE-L,TASK2,PERSIANSYSSUM23.TXT,0.49097,0.97842,0.65385,12
ROUGE-L,TASK2,PERSIANSYSSUM18.TXT,0.49097,0.97842,0.65385,12
ROUGE-L,TASK2,PERSIANSYSSUM16.TXT,0.49097,0.97842,0.65385,12
ROUGE-L,TASK2,PERSIANSYSSUM26.TXT,0.49097,0.97842,0.65385,12
ROUGE-L,TASK2,PERSIANSYSSUM28.TXT,0.49097,0.97842,0.65385,12
ROUGE-L,TASK2,PERSIANSYSSUM27.TXT,0.49097,0.97842,0.65385,12
ROUGE-1,TASK2,PERSIANSYSSUM21.TXT,0.38475,0.97309,0.55146,12
ROUGE-1,TASK2,PERSIANSYSSUM22.TXT,0.38475,0.97309,0.55146,12
ROUGE-1,TASK2,PERSIANSYSSUM19.TXT,0.38475,0.97309,0.55146,12
ROUGE-1,TASK2,PERSIANSYSSUM20.TXT,0.38475,0.97309,0.55146,12
ROUGE-1,TASK2,PERSIANSYSSUM24.TXT,0.38475,0.97309,0.55146,12
ROUGE-1,TASK2,PERSIANSYSSUM17.TXT,0.38475,0.97309,0.55146,12
ROUGE-1,TASK2,PERSIANSYSSUM23.TXT,0.38475,0.97309,0.55146,12
ROUGE-1,TASK2,PERSIANSYSSUM18.TXT,0.38475,0.97309,0.55146,12
ROUGE-1,TASK2,PERSIANSYSSUM16.TXT,0.38475,0.97309,0.55146,12
ROUGE-1,TASK2,PERSIANSYSSUM26.TXT,0.38475,0.97309,0.55146,12
ROUGE-1,TASK2,PERSIANSYSSUM28.TXT,0.38475,0.97309,0.55146,12
ROUGE-1,TASK2,PERSIANSYSSUM27.TXT,0.38475,0.97309,0.55146,12
ROUGE-2,TASK2,PERSIANSYSSUM21.TXT,0.37138,0.96244,0.53595,12
ROUGE-2,TASK2,PERSIANSYSSUM22.TXT,0.37138,0.96244,0.53595,12
ROUGE-2,TASK2,PERSIANSYSSUM19.TXT,0.37138,0.96244,0.53595,12
ROUGE-2,TASK2,PERSIANSYSSUM20.TXT,0.37138,0.96244,0.53595,12
ROUGE-2,TASK2,PERSIANSYSSUM24.TXT,0.37138,0.96244,0.53595,12
ROUGE-2,TASK2,PERSIANSYSSUM17.TXT,0.37138,0.96244,0.53595,12
ROUGE-2,TASK2,PERSIANSYSSUM23.TXT,0.37138,0.96244,0.53595,12
ROUGE-2,TASK2,PERSIANSYSSUM18.TXT,0.37138,0.96244,0.53595,12
ROUGE-2,TASK2,PERSIANSYSSUM16.TXT,0.37138,0.96244,0.53595,12
ROUGE-2,TASK2,PERSIANSYSSUM26.TXT,0.37138,0.96244,0.53595,12
ROUGE-2,TASK2,PERSIANSYSSUM28.TXT,0.37138,0.96244,0.53595,12
ROUGE-2,TASK2,PERSIANSYSSUM27.TXT,0.37138,0.96244,0.53595,12
ROUGE-SU4,TASK2,PERSIANSYSSUM21.TXT,0.36185,0.96256,0.52598,12
ROUGE-SU4,TASK2,PERSIANSYSSUM22.TXT,0.36185,0.96256,0.52598,12
ROUGE-SU4,TASK2,PERSIANSYSSUM19.TXT,0.36185,0.96256,0.52598,12
ROUGE-SU4,TASK2,PERSIANSYSSUM20.TXT,0.36185,0.96256,0.52598,12
ROUGE-SU4,TASK2,PERSIANSYSSUM24.TXT,0.36185,0.96256,0.52598,12
ROUGE-SU4,TASK2,PERSIANSYSSUM17.TXT,0.36185,0.96256,0.52598,12
ROUGE-SU4,TASK2,PERSIANSYSSUM23.TXT,0.36185,0.96256,0.52598,12
ROUGE-SU4,TASK2,PERSIANSYSSUM18.TXT,0.36185,0.96256,0.52598,12
ROUGE-SU4,TASK2,PERSIANSYSSUM16.TXT,0.36185,0.96256,0.52598,12
ROUGE-SU4,TASK2,PERSIANSYSSUM26.TXT,0.36185,0.96256,0.52598,12
ROUGE-SU4,TASK2,PERSIANSYSSUM28.TXT,0.36185,0.96256,0.52598,12
ROUGE-SU4,TASK2,PERSIANSYSSUM27.TXT,0.36185,0.96256,0.52598,12
