ROUGE-Type,Task Name,System Name,Avg_Recall,Avg_Precision,Avg_F-Score,Num Reference Summaries
ROUGE-L,TASK1,ENGLISHREFERENCE7.TXT,1.00000,1.00000,1.00000,4
ROUGE-L,TASK1,ENGLISHREFERENCE12.TXT,1.00000,1.00000,1.00000,4
ROUGE-L,TASK1,ENGLISHREFERENCE17.TXT,1.00000,1.00000,1.00000,4
ROUGE-L,TASK1,ENGLISHREFERENCE2.TXT,1.00000,1.00000,1.00000,4
ROUGE-1,TASK1,ENGLISHREFERENCE7.TXT,1.00000,1.00000,1.00000,4
ROUGE-1,TASK1,ENGLISHREFERENCE12.TXT,1.00000,1.00000,1.00000,4
ROUGE-1,TASK1,ENGLISHREFERENCE17.TXT,1.00000,1.00000,1.00000,4
ROUGE-1,TASK1,ENGLISHREFERENCE2.TXT,1.00000,1.00000,1.00000,4
ROUGE-2,TASK1,ENGLISHREFERENCE7.TXT,1.00000,1.00000,1.00000,4
ROUGE-2,TASK1,ENGLISHREFERENCE12.TXT,1.00000,1.00000,1.00000,4
ROUGE-2,TASK1,ENGLISHREFERENCE17.TXT,1.00000,1.00000,1.00000,4
ROUGE-2,TASK1,ENGLISHREFERENCE2.TXT,1.00000,1.00000,1.00000,4
ROUGE-SU4,TASK1,ENGLISHREFERENCE7.TXT,1.00000,1.00000,1.00000,4
ROUGE-SU4,TASK1,ENGLISHREFERENCE12.TXT,1.00000,1.00000,1.00000,4
ROUGE-SU4,TASK1,ENGLISHREFERENCE17.TXT,1.00000,1.00000,1.00000,4
ROUGE-SU4,TASK1,ENGLISHREFERENCE2.TXT,1.00000,1.00000,1.00000,4
