ROUGE-Type,Task Name,System Name,Avg_Recall,Avg_Precision,Avg_F-Score,Num Reference Summaries
ROUGE-L,TASK1,ENGLISHSYSSUM5.TXT,NaN,NaN,0.00000,0
ROUGE-L,TASK1,ENGLISHSYSSUM11.TXT,NaN,NaN,0.00000,0
ROUGE-L,TASK1,ENGLISHSYSSUM1.TXT,NaN,NaN,0.00000,0
ROUGE-1,TASK1,ENGLISHSYSSUM5.TXT,NaN,NaN,0.00000,0
ROUGE-1,TASK1,ENGLISHSYSSUM11.TXT,NaN,NaN,0.00000,0
ROUGE-1,TASK1,ENGLISHSYSSUM1.TXT,NaN,NaN,0.00000,0
ROUGE-2,TASK1,ENGLISHSYSSUM5.TXT,NaN,NaN,0.00000,0
ROUGE-2,TASK1,ENGLISHSYSSUM11.TXT,NaN,NaN,0.00000,0
ROUGE-2,TASK1,ENGLISHSYSSUM1.TXT,NaN,NaN,0.00000,0
ROUGE-SU4,TASK1,ENGLISHSYSSUM5.TXT,NaN,NaN,0.00000,0
ROUGE-SU4,TASK1,ENGLISHSYSSUM11.TXT,NaN,NaN,0.00000,0
ROUGE-SU4,TASK1,ENGLISHSYSSUM1.TXT,NaN,NaN,0.00000,0
ROUGE-L,TASK2,PERSIANSYSSUM27.TXT,0.49097,0.97842,0.65385,8
ROUGE-L,TASK2,PERSIANSYSSUM28.TXT,0.49097,0.97842,0.65385,8
ROUGE-1,TASK2,PERSIANSYSSUM27.TXT,0.38475,0.97309,0.55146,8
ROUGE-1,TASK2,PERSIANSYSSUM28.TXT,0.38475,0.97309,0.55146,8
ROUGE-2,TASK2,PERSIANSYSSUM27.TXT,0.37138,0.96244,0.53595,8
ROUGE-2,TASK2,PERSIANSYSSUM28.TXT,0.37138,0.96244,0.53595,8
ROUGE-SU4,TASK2,PERSIANSYSSUM27.TXT,0.36185,0.96256,0.52598,8
ROUGE-SU4,TASK2,PERSIANSYSSUM28.TXT,0.36185,0.96256,0.52598,8
ROUGE-L,C1,TASK1,NaN,NaN,0.00000,0
ROUGE-1,C1,TASK1,NaN,NaN,0.00000,0
ROUGE-2,C1,TASK1,NaN,NaN,0.00000,0
ROUGE-SU4,C1,TASK1,NaN,NaN,0.00000,0
