ROUGE-Type,Task Name,System Name,Avg_Recall,Avg_Precision,Avg_F-Score,Num Reference Summaries
ROUGE-L,TASK1,TASK1ENGLISHSYSSUM2.TXT,NaN,NaN,0.00000,0
ROUGE-L,TASK1,TASK1ENGLISHSYSSUM1.TXT,NaN,NaN,0.00000,0
ROUGE-L,TASK1,TASK1ENGLISHSYSSUM3.TXT,NaN,NaN,0.00000,0
ROUGE-1,TASK1,TASK1ENGLISHSYSSUM2.TXT,NaN,NaN,0.00000,0
ROUGE-1,TASK1,TASK1ENGLISHSYSSUM1.TXT,NaN,NaN,0.00000,0
ROUGE-1,TASK1,TASK1ENGLISHSYSSUM3.TXT,NaN,NaN,0.00000,0
ROUGE-2,TASK1,TASK1ENGLISHSYSSUM2.TXT,NaN,NaN,0.00000,0
ROUGE-2,TASK1,TASK1ENGLISHSYSSUM1.TXT,NaN,NaN,0.00000,0
ROUGE-2,TASK1,TASK1ENGLISHSYSSUM3.TXT,NaN,NaN,0.00000,0
ROUGE-SU4,TASK1,TASK1ENGLISHSYSSUM2.TXT,NaN,NaN,0.00000,0
ROUGE-SU4,TASK1,TASK1ENGLISHSYSSUM1.TXT,NaN,NaN,0.00000,0
ROUGE-SU4,TASK1,TASK1ENGLISHSYSSUM3.TXT,NaN,NaN,0.00000,0
