ROUGE-Type,Task Name,System Name,Avg_Recall,Avg_Precision,Avg_F-Score,Num Reference Summaries
ROUGE-L,TASK1,ENGLISHSYSSUM8.TXT,0.55102,0.18182,0.27342,7
ROUGE-L,TASK1,ENGLISHSYSSUM3.TXT,0.45918,0.71429,0.55901,7
ROUGE-L,TASK1,ENGLISHSYSSUM2.TXT,0.55102,0.18182,0.27342,7
ROUGE-L,TASK1,ENGLISHSYSSUM9.TXT,0.55102,0.18182,0.27342,7
ROUGE-L,TASK1,ENGLISHSYSSUM4.TXT,0.55102,0.18182,0.27342,7
ROUGE-L,TASK1,ENGLISHSYSSUM6.TXT,0.55102,0.18182,0.27342,7
ROUGE-L,TASK1,ENGLISHSYSSUM7.TXT,0.45918,0.71429,0.55901,7
ROUGE-L,TASK1,ENGLISHSYSSUM5.TXT,0.59184,0.65714,0.62278,7
ROUGE-L,TASK1,ENGLISHSYSSUM10.TXT,0.45918,0.71429,0.55901,7
ROUGE-1,TASK1,ENGLISHSYSSUM8.TXT,0.63736,0.19565,0.29940,7
ROUGE-1,TASK1,ENGLISHSYSSUM3.TXT,0.42491,0.75000,0.54248,7
ROUGE-1,TASK1,ENGLISHSYSSUM2.TXT,0.63736,0.19565,0.29940,7
ROUGE-1,TASK1,ENGLISHSYSSUM9.TXT,0.63736,0.19565,0.29940,7
ROUGE-1,TASK1,ENGLISHSYSSUM4.TXT,0.63736,0.19565,0.29940,7
ROUGE-1,TASK1,ENGLISHSYSSUM6.TXT,0.63736,0.19565,0.29940,7
ROUGE-1,TASK1,ENGLISHSYSSUM7.TXT,0.42491,0.75000,0.54248,7
ROUGE-1,TASK1,ENGLISHSYSSUM5.TXT,0.59829,0.71429,0.65116,7
ROUGE-1,TASK1,ENGLISHSYSSUM10.TXT,0.42491,0.75000,0.54248,7
ROUGE-2,TASK1,ENGLISHSYSSUM8.TXT,0.00000,0.00000,0.00000,7
ROUGE-2,TASK1,ENGLISHSYSSUM3.TXT,0.08398,0.20000,0.11829,7
ROUGE-2,TASK1,ENGLISHSYSSUM2.TXT,0.00000,0.00000,0.00000,7
ROUGE-2,TASK1,ENGLISHSYSSUM9.TXT,0.00000,0.00000,0.00000,7
ROUGE-2,TASK1,ENGLISHSYSSUM4.TXT,0.00000,0.00000,0.00000,7
ROUGE-2,TASK1,ENGLISHSYSSUM6.TXT,0.00000,0.00000,0.00000,7
ROUGE-2,TASK1,ENGLISHSYSSUM7.TXT,0.08398,0.20000,0.11829,7
ROUGE-2,TASK1,ENGLISHSYSSUM5.TXT,0.10303,0.16071,0.12556,7
ROUGE-2,TASK1,ENGLISHSYSSUM10.TXT,0.08398,0.20000,0.11829,7
ROUGE-SU4,TASK1,ENGLISHSYSSUM8.TXT,0.28889,0.07000,0.11269,7
ROUGE-SU4,TASK1,ENGLISHSYSSUM3.TXT,0.16508,0.50000,0.24821,7
ROUGE-SU4,TASK1,ENGLISHSYSSUM2.TXT,0.28889,0.07000,0.11269,7
ROUGE-SU4,TASK1,ENGLISHSYSSUM9.TXT,0.28889,0.07000,0.11269,7
ROUGE-SU4,TASK1,ENGLISHSYSSUM4.TXT,0.28889,0.07000,0.11269,7
ROUGE-SU4,TASK1,ENGLISHSYSSUM6.TXT,0.28889,0.07000,0.11269,7
ROUGE-SU4,TASK1,ENGLISHSYSSUM7.TXT,0.16508,0.50000,0.24821,7
ROUGE-SU4,TASK1,ENGLISHSYSSUM5.TXT,0.25079,0.47802,0.32899,7
ROUGE-SU4,TASK1,ENGLISHSYSSUM10.TXT,0.16508,0.50000,0.24821,7
