ROUGE-Type,Task Name,System Name,Avg_Recall,Avg_Precision,Avg_F-Score,Num Reference Summaries
ROUGE-L,TASK1,TASK1ENGLISHSYSSUM6.TXT,0.56571,0.18182,0.27519,15
ROUGE-L,TASK1,TASK1ENGLISHSYSSUM5.TXT,0.59429,0.64000,0.61630,15
ROUGE-L,TASK1,TASK1ENGLISHSYSSUM7.TXT,0.47143,0.71429,0.56799,15
ROUGE-L,TASK1,TASK1ENGLISHSYSSUM4.TXT,0.56571,0.18182,0.27519,15
ROUGE-L,TASK1,TASK1ENGLISHSYSSUM1.TXT,0.59429,0.64000,0.61630,15
ROUGE-L,TASK1,TASK1ENGLISHSYSSUM2.TXT,0.56571,0.18182,0.27519,15
ROUGE-L,TASK1,TASK1ENGLISHSYSSUM3.TXT,0.47143,0.71429,0.56799,15
ROUGE-1,TASK1,TASK1ENGLISHSYSSUM6.TXT,0.65385,0.19565,0.30118,15
ROUGE-1,TASK1,TASK1ENGLISHSYSSUM5.TXT,0.60342,0.70000,0.64813,15
ROUGE-1,TASK1,TASK1ENGLISHSYSSUM7.TXT,0.43590,0.75000,0.55135,15
ROUGE-1,TASK1,TASK1ENGLISHSYSSUM4.TXT,0.65385,0.19565,0.30118,15
ROUGE-1,TASK1,TASK1ENGLISHSYSSUM1.TXT,0.60342,0.70000,0.64813,15
ROUGE-1,TASK1,TASK1ENGLISHSYSSUM2.TXT,0.65385,0.19565,0.30118,15
ROUGE-1,TASK1,TASK1ENGLISHSYSSUM3.TXT,0.43590,0.75000,0.55135,15
ROUGE-2,TASK1,TASK1ENGLISHSYSSUM6.TXT,0.00000,0.00000,0.00000,15
ROUGE-2,TASK1,TASK1ENGLISHSYSSUM5.TXT,0.09939,0.15000,0.11956,15
ROUGE-2,TASK1,TASK1ENGLISHSYSSUM7.TXT,0.08606,0.20000,0.12034,15
ROUGE-2,TASK1,TASK1ENGLISHSYSSUM4.TXT,0.00000,0.00000,0.00000,15
ROUGE-2,TASK1,TASK1ENGLISHSYSSUM1.TXT,0.09939,0.15000,0.11956,15
ROUGE-2,TASK1,TASK1ENGLISHSYSSUM2.TXT,0.00000,0.00000,0.00000,15
ROUGE-2,TASK1,TASK1ENGLISHSYSSUM3.TXT,0.08606,0.20000,0.12034,15
ROUGE-SU4,TASK1,TASK1ENGLISHSYSSUM6.TXT,0.29556,0.07000,0.11319,15
ROUGE-SU4,TASK1,TASK1ENGLISHSYSSUM5.TXT,0.24889,0.46154,0.32339,15
ROUGE-SU4,TASK1,TASK1ENGLISHSYSSUM7.TXT,0.16889,0.50000,0.25249,15
ROUGE-SU4,TASK1,TASK1ENGLISHSYSSUM4.TXT,0.29556,0.07000,0.11319,15
ROUGE-SU4,TASK1,TASK1ENGLISHSYSSUM1.TXT,0.24889,0.46154,0.32339,15
ROUGE-SU4,TASK1,TASK1ENGLISHSYSSUM2.TXT,0.29556,0.07000,0.11319,15
ROUGE-SU4,TASK1,TASK1ENGLISHSYSSUM3.TXT,0.16889,0.50000,0.25249,15
