ROUGE-Type,Task Name,System Name,Avg_Recall,Avg_Precision,Avg_F-Score,Num Reference Summaries
ROUGE-L,TASK1,ENGLISHSYSSUM4.TXT,0.55714,0.18182,0.27417,8
ROUGE-L,TASK1,ENGLISHSYSSUM5.TXT,0.59286,0.65000,0.62011,8
ROUGE-L,TASK1,ENGLISHSYSSUM7.TXT,0.46429,0.71429,0.56277,8
ROUGE-L,TASK1,ENGLISHSYSSUM6.TXT,0.55714,0.18182,0.27417,8
ROUGE-1,TASK1,ENGLISHSYSSUM4.TXT,0.64423,0.19565,0.30015,8
ROUGE-1,TASK1,ENGLISHSYSSUM5.TXT,0.60043,0.70833,0.64993,8
ROUGE-1,TASK1,ENGLISHSYSSUM7.TXT,0.42949,0.75000,0.54620,8
ROUGE-1,TASK1,ENGLISHSYSSUM6.TXT,0.64423,0.19565,0.30015,8
ROUGE-2,TASK1,ENGLISHSYSSUM4.TXT,0.00000,0.00000,0.00000,8
ROUGE-2,TASK1,ENGLISHSYSSUM5.TXT,0.10152,0.15625,0.12307,8
ROUGE-2,TASK1,ENGLISHSYSSUM7.TXT,0.08485,0.20000,0.11915,8
ROUGE-2,TASK1,ENGLISHSYSSUM6.TXT,0.00000,0.00000,0.00000,8
ROUGE-SU4,TASK1,ENGLISHSYSSUM4.TXT,0.29167,0.07000,0.11290,8
ROUGE-SU4,TASK1,ENGLISHSYSSUM5.TXT,0.25000,0.47115,0.32667,8
ROUGE-SU4,TASK1,ENGLISHSYSSUM7.TXT,0.16667,0.50000,0.25000,8
ROUGE-SU4,TASK1,ENGLISHSYSSUM6.TXT,0.29167,0.07000,0.11290,8
