ROUGE-Type,Task Name,System Name,Avg_Recall,Avg_Precision,Avg_F-Score,Num Reference Summaries
ROUGE-L,TASK1,ENGLISHSYSSUM11.TXT,0.57143,0.80000,0.66667,4
ROUGE-L,TASK1,ENGLISHSYSSUM1.TXT,0.57143,0.80000,0.66667,4
ROUGE-L,TASK1,ENGLISHSYSSUM5.TXT,0.57143,0.80000,0.66667,4
ROUGE-1,TASK1,ENGLISHSYSSUM11.TXT,0.55556,0.83333,0.66667,4
ROUGE-1,TASK1,ENGLISHSYSSUM1.TXT,0.55556,0.83333,0.66667,4
ROUGE-1,TASK1,ENGLISHSYSSUM5.TXT,0.55556,0.83333,0.66667,4
ROUGE-2,TASK1,ENGLISHSYSSUM11.TXT,0.13333,0.25000,0.17391,4
ROUGE-2,TASK1,ENGLISHSYSSUM1.TXT,0.13333,0.25000,0.17391,4
ROUGE-2,TASK1,ENGLISHSYSSUM5.TXT,0.13333,0.25000,0.17391,4
ROUGE-SU4,TASK1,ENGLISHSYSSUM11.TXT,0.26667,0.61538,0.37209,4
ROUGE-SU4,TASK1,ENGLISHSYSSUM1.TXT,0.26667,0.61538,0.37209,4
ROUGE-SU4,TASK1,ENGLISHSYSSUM5.TXT,0.26667,0.61538,0.37209,4
ROUGE-L,TASK2,PERSIANSYSSUM28.TXT,NaN,NaN,0.00000,0
ROUGE-1,TASK2,PERSIANSYSSUM28.TXT,NaN,NaN,0.00000,0
ROUGE-2,TASK2,PERSIANSYSSUM28.TXT,NaN,NaN,0.00000,0
ROUGE-SU4,TASK2,PERSIANSYSSUM28.TXT,NaN,NaN,0.00000,0
